,#Entity,SMACT,SMOCC,GPUTL,MCUTL,DRAMA,NVLTX,NVLRX,PCITX,PCIRX
9,GPU 3,0.61,0.353,89,21,0.166,0.0,0.0,12258838.0,93133842.0
13,GPU 3,0.61,,81,21,,,,,
17,GPU 3,0.714,0.391,81,21,0.162,0.0,0.0,15367022.0,113946057.0
21,GPU 3,0.714,0.391,81,21,0.162,0.0,0.0,15367022.0,
25,GPU 3,0.714,,81,21,,,,,
29,GPU 3,0.778,0.443,93,24,0.173,0.0,0.0,16146829.0,114680961.0
33,GPU 3,0.739,0.443,93,24,0.173,0.0,0.0,16146829.0,164463348.0
37,GPU 3,0.739,0.422,93,24,0.195,0.0,0.0,19990480.0,
41,GPU 3,0.773,,93,24,,,,,119996672.0
45,GPU 3,0.773,0.419,93,22,0.17,0.0,0.0,18353099.0,
49,GPU 3,0.753,,93,22,,,,,115988376.0
53,GPU 3,0.753,0.428,93,22,0.172,0.0,0.0,15949378.0,
57,GPU 3,0.74,,93,22,,,,,152696337.0
63,GPU 3,0.74,0.428,93,23,0.195,0.0,0.0,17990609.0,
67,GPU 3,0.723,,89,23,,,,,110141758.0
71,GPU 3,0.723,0.393,89,23,0.16,0.0,0.0,14676553.0,
75,GPU 3,0.704,,89,23,,,,,113025775.0
79,GPU 3,0.704,0.387,89,23,0.162,0.0,0.0,15294999.0,
83,GPU 3,0.74,,88,23,,,,,162731394.0
87,GPU 3,0.74,0.431,88,23,0.195,0.0,0.0,19279861.0,
91,GPU 3,0.741,,88,23,,0.0,,,109338432.0
95,GPU 3,0.741,0.415,88,22,0.164,,0.0,14823432.0,
99,GPU 3,0.76,,92,22,,0.0,,,121623391.0
103,GPU 3,0.76,0.412,92,22,0.17,,0.0,18477859.0,
107,GPU 3,0.728,,92,22,,,,,156557832.0
111,GPU 3,0.728,0.417,91,23,0.195,0.0,0.0,21052195.0,
115,GPU 3,0.784,,91,23,,,,,110714414.0
121,GPU 3,0.784,0.447,91,23,0.173,0.0,0.0,14871930.0,
125,GPU 3,0.748,,91,23,,,,,119788047.0
129,GPU 3,0.748,0.407,90,23,0.169,0.0,0.0,16980988.0,
133,GPU 3,0.716,,90,23,,,,,115273161.0
137,GPU 3,0.716,0.394,90,23,0.168,0.0,0.0,17367081.0,
141,GPU 3,0.662,,90,23,,,,,101379799.0
145,GPU 3,0.662,0.382,88,21,0.171,0.0,0.0,14311218.0,
149,GPU 3,0.763,,88,21,,,,,112496146.0
153,GPU 3,0.763,0.435,88,21,0.171,,0.0,15576469.0,
157,GPU 3,0.761,,88,21,,0.0,,,120812652.0
161,GPU 3,0.761,0.413,88,23,0.171,,0.0,15988762.0,
165,GPU 3,0.672,,88,23,,0.0,,,138045501.0
169,GPU 3,0.672,0.383,88,23,0.179,,0.0,16403298.0,
173,GPU 3,0.748,,88,23,,0.0,,,116029296.0
179,GPU 3,0.748,0.42,86,21,0.17,,0.0,15584781.0,
183,GPU 3,0.709,,86,21,,0.0,,,106401902.0
187,GPU 3,0.709,0.402,86,21,0.159,,0.0,14488548.0,
191,GPU 3,0.706,,86,21,,0.0,,,161429157.0
195,GPU 3,0.706,0.4,92,23,0.186,,0.0,18754285.0,
199,GPU 3,0.769,,92,23,,0.0,,,118092215.0
203,GPU 3,0.769,0.416,92,23,0.171,,0.0,15835423.0,
207,GPU 3,0.769,0.416,92,23,0.171,,0.0,15835423.0,
211,GPU 3,0.749,0.426,92,24,0.171,0.0,0.0,16029087.0,115532169.0
215,GPU 3,0.741,0.429,92,24,0.195,0.0,0.0,17487684.0,150837129.0
219,GPU 3,0.741,0.429,92,24,0.195,,0.0,17487684.0,
223,GPU 3,0.774,,92,24,,0.0,,,118879900.0
227,GPU 3,0.774,0.419,93,22,,,0.0,15860690.0,
231,GPU 3,0.742,,93,22,0.17,0.0,,,118420117.0
237,GPU 3,0.742,0.415,93,22,0.17,,0.0,17805697.0,
241,GPU 3,0.762,,93,22,0.2,0.0,,,164117103.0
245,GPU 3,0.762,0.444,92,24,,,0.0,19099969.0,
249,GPU 3,0.755,0.412,92,24,0.168,0.0,,15477329.0,115676508.0
253,GPU 3,0.755,,92,24,,,0.0,,
257,GPU 3,0.732,0.403,91,24,0.168,0.0,,15865963.0,117674732.0
261,GPU 3,0.732,,91,24,,,0.0,,
265,GPU 3,0.758,0.44,91,24,0.197,0.0,0.0,18823567.0,151503467.0
269,GPU 3,0.758,,91,24,,,,,
273,GPU 3,0.758,0.421,91,24,0.168,0.0,0.0,15339923.0,113357408.0
277,GPU 3,0.758,,91,22,,,,,
281,GPU 3,0.765,0.414,91,22,0.167,0.0,0.0,16228906.0,117504796.0
