#Entity   SMACT        SMOCC        GPUTL             MCUTL             DRAMA        NVLTX                       NVLRX                       PCITX                       PCIRX                       
ID                                                                                                                                                                                                   
GPU 3     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 2     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 1     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 3     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 2     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 1     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 3     0.000        0.000        0                 0                 0.000        0                           0                           2668912                     1876579                     
GPU 2     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 1     0.000        0.000        0                 0                 0.000        0                           0                           865703                      375485                      
GPU 0     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 3     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 2     0.000        0.000        0                 0                 0.000        0                           0                           1194032                     709119                      
GPU 1     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     0.000        0.000        0                 0                 0.000        0                           0                           1668604                     1152380                     
GPU 3     0.000        0.000        0                 0                 0.000        0                           0                           1204480                     724773                      
GPU 2     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 1     0.000        0.000        0                 0                 0.000        0                           0                           1699705                     1183537                     
GPU 0     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 3     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 2     0.000        0.000        0                 0                 0.000        0                           0                           1595121                     1079052                     
GPU 1     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 3     0.000        N/A          0                 0                 N/A          N/A                         N/A                         N/A                         1121216                     
GPU 2     N/A          0.000        0                 0                 N/A          0                           0                           1595121                     1079052                     
GPU 1     0.000        N/A          0                 0                 N/A          N/A                         N/A                         1198734                     N/A                         
GPU 0     0.000        N/A          0                 0                 N/A          N/A                         0                           1130151                     N/A                         
GPU 3     N/A          0.000        0                 0                 0.000        0                           0                           1637497                     N/A                         
GPU 2     0.000        0.000        0                 0                 0.000        N/A                         N/A                         1225313                     N/A                         
GPU 1     0.000        0.000        0                 0                 0.000        0                           0                           3403442                     714029                      
GPU 0     0.000        0.000        0                 0                 0.000        0                           0                           2940287                     659680                      
GPU 3     0.000        N/A          0                 0                 N/A          N/A                         N/A                         N/A                         724750                      
