,#Entity,SMACT,SMOCC,GPUTL,MCUTL,DRAMA,NVLTX,NVLRX,PCITX,PCIRX
16,GPU 0,0.0,0.0,0,0,0.0,0.0,0.0,1668604.0,1152380.0
28,GPU 0,0.0,,0,0,,,0.0,1130151.0,
32,GPU 0,0.0,0.0,0,0,0.0,0.0,0.0,2940287.0,659680.0
40,GPU 0,0.0,,0,0,,,0.0,6705268.0,
48,GPU 0,0.0,,0,0,,,0.0,1309054.0,
56,GPU 0,0.0,,0,0,,,0.0,1569835.0,
66,GPU 0,0.0,,0,0,,,0.0,1225318.0,
74,GPU 0,0.0,,0,0,,,0.0,1225139.0,
82,GPU 0,0.0,,0,0,0.0,0.0,0.0,1225309.0,
90,GPU 0,0.0,,0,0,0.0,0.0,0.0,1183683.0,
98,GPU 0,0.0,0.0,0,0,0.0,0.0,0.0,1783217.0,1256594.0
106,GPU 0,0.0,0.0,0,0,0.0,0.0,0.0,1121077.0,646574.0
114,GPU 0,0.0,0.0,0,0,0.0,0.0,0.0,1527933.0,943876.0
124,GPU 0,0.0,0.0,0,0,0.0,0.0,0.0,1167966.0,719551.0
132,GPU 0,0.0,,0,0,,,0.0,1162463.0,
140,GPU 0,0.0,,0,0,,,0.0,3628424.0,
148,GPU 0,0.0,,0,0,,,0.0,6643974.0,
156,GPU 0,0.0,,0,0,,,0.0,1444189.0,
164,GPU 0,0.0,,0,0,,,0.0,1183621.0,
172,GPU 0,0.0,,0,0,,,0.0,1188853.0,
182,GPU 0,0.0,0.0,0,0,0.0,0.0,0.0,1178467.0,698737.0
190,GPU 0,0.0,0.0,0,0,0.0,0.0,0.0,1621599.0,1105399.0
194,GPU 0,0.0,0.0,0,0,0.0,0.0,0.0,1621599.0,1105399.0
198,GPU 0,0.0,0.0,0,0,0.0,0.0,0.0,1558752.0,969659.0
206,GPU 0,0.0,0.0,0,0,0.0,0.0,0.0,834276.0,344139.0
214,GPU 0,0.0,0.0,0,0,0.0,0.0,0.0,1163025.0,688427.0
222,GPU 0,0.0,0.0,0,0,0.0,0.0,0.0,1173449.0,688423.0
230,GPU 0,0.0,0.0,0,0,0.0,0.0,0.0,1194058.0,714349.0
234,GPU 0,0.0,0.0,0,0,0.0,0.0,,1194058.0,714349.0
244,GPU 0,0.0,0.0,0,0,0.0,0.0,,1183478.0,703830.0
252,GPU 0,0.0,0.0,0,0,,,,3639264.0,2966678.0
260,GPU 0,0.0,,0,0,,,,6377258.0,
268,GPU 0,0.0,0.0,0,0,0.0,0.0,,1472725.0,990459.0
272,GPU 0,0.0,,0,0,,,0.0,3540183.0,
280,GPU 0,0.0,,0,0,,,0.0,4104024.0,
288,GPU 0,0.0,,0,0,,,0.0,1668534.0,
298,GPU 0,0.0,,0,0,,,0.0,1558647.0,
306,GPU 0,0.0,,0,0,0.0,0.0,0.0,1303553.0,
314,GPU 0,0.0,,0,0,0.0,0.0,0.0,1366338.0,
322,GPU 0,0.0,,0,0,0.0,0.0,0.0,1293073.0,
330,GPU 0,0.0,0.0,0,0,0.0,0.0,0.0,1366081.0,886388.0
338,GPU 0,0.0,0.0,0,0,0.0,0.0,0.0,1235788.0,761287.0
346,GPU 0,0.0,0.0,0,0,0.0,0.0,0.0,3285022.0,2591518.0
356,GPU 0,0.0,,0,0,,,0.0,7065127.0,
364,GPU 0,0.0,,0,0,,,0.0,2888207.0,
372,GPU 0,0.0,,0,0,,,0.0,7588599.0,
380,GPU 0,0.0,,0,0,0.0,0.0,0.0,7343027.0,
384,GPU 0,0.0,0.0,0,0,0.0,0.0,0.0,7343027.0,6878873.0
388,GPU 0,0.0,0.0,0,0,0.0,0.0,0.0,1189083.0,6878873.0
392,GPU 0,0.0,0.0,0,0,0.0,0.0,0.0,1189083.0,1058701.0
396,GPU 0,0.0,0.0,0,0,0.0,0.0,0.0,3712387.0,1058701.0
400,GPU 0,0.0,0.0,0,0,0.0,0.0,0.0,4493870.0,2940711.0
404,GPU 0,0.0,0.0,0,0,0.0,0.0,0.0,4493870.0,3670167.0
408,GPU 0,0.0,0.0,0,0,0.0,0.0,0.0,4493870.0,3670167.0
414,GPU 0,0.0,0.0,0,0,0.0,0.0,0.0,3535233.0,3248452.0
418,GPU 0,0.0,0.0,0,0,0.0,0.0,0.0,3535233.0,3248452.0
422,GPU 0,0.0,0.0,0,0,0.0,0.0,0.0,4682519.0,3879503.0
430,GPU 0,0.0,0.0,0,0,0.0,0.0,0.0,4963702.0,4066899.0
438,GPU 0,0.0,0.0,0,0,0.0,0.0,0.0,4314085.0,3811121.0
446,GPU 0,0.0,0.0,0,0,0.0,0.0,0.0,2878530.0,2263192.0
458,GPU 0,0.0,,0,0,,,0.0,4029495.0,
466,GPU 0,0.0,,0,0,,,0.0,5083671.0,
484,GPU 0,0.0,0.0,0,0,0.0,0.0,0.0,1778345.0,1293342.0
488,GPU 0,0.0,0.0,0,0,0.0,0.0,0.0,1194024.0,709115.0
492,GPU 0,0.0,0.0,0,0,,,0.0,886393.0,391055.0
500,GPU 0,0.0,,0,0,,,0.0,1616413.0,
508,GPU 0,0.0,,0,0,,,0.0,1658168.0,
520,GPU 0,0.0,0.0,0,0,0.0,0.0,0.0,1642431.0,2001822.0
524,GPU 0,0.0,,0,0,,,0.0,2616965.0,
542,GPU 0,0.0,0.0,0,0,0.0,0.0,0.0,5037994.0,1131466.0
546,GPU 0,0.0,0.0,0,0,0.0,0.0,0.0,5296606.0,4193113.0
550,GPU 0,0.0,0.0,0,0,0.0,0.0,0.0,5296606.0,4472921.0
566,GPU 0,0.0,0.0,0,0,0.0,0.0,0.0,7700134.0,6829503.0
570,GPU 0,0.0,0.0,0,0,,,0.0,3445025.0,2856087.0
574,GPU 0,0.0,,0,0,,,0.0,3445025.0,
578,GPU 0,0.0,0.0,0,0,0.0,0.0,0.0,2925312.0,2450796.0
582,GPU 0,0.0,0.0,0,0,0.0,0.0,0.0,5052329.0,2450796.0
600,GPU 0,0.0,0.0,0,0,0.0,0.0,0.0,1642689.0,1846069.0
608,GPU 0,0.0,0.0,0,0,0.0,0.0,0.0,2012666.0,1715459.0
616,GPU 0,0.0,0.0,0,0,0.0,0.0,0.0,1819261.0,1730644.0
624,GPU 0,0.0,0.0,0,0,0.0,0.0,0.0,1277471.0,1053262.0
632,GPU 0,0.0,0.0,0,0,0.0,0.0,0.0,1512367.0,1089947.0
640,GPU 0,0.0,0.0,0,0,0.0,0.0,0.0,1240936.0,771674.0
