,#Entity,SMACT,SMOCC,GPUTL,MCUTL,DRAMA,NVLTX,NVLRX,PCITX,PCIRX
11,GPU 1,0.0,0.0,0,0,0.0,0.0,0.0,865703.0,375485.0
19,GPU 1,0.0,0.0,0,0,0.0,0.0,0.0,1699705.0,1183537.0
27,GPU 1,0.0,,0,0,,,,1198734.0,
31,GPU 1,0.0,0.0,0,0,0.0,0.0,0.0,3403442.0,714029.0
39,GPU 1,0.0,,0,0,,,0.0,7289564.0,
47,GPU 1,0.0,,0,0,,,0.0,1600704.0,1110586.0
55,GPU 1,0.0,,0,0,,,0.0,1965411.0,1475362.0
65,GPU 1,0.0,,0,0,,,0.0,1329628.0,849919.0
77,GPU 1,0.0,0.0,0,0,0.0,0.0,,,
85,GPU 1,0.0,0.0,0,0,0.0,0.0,,,
93,GPU 1,0.0,0.0,0,0,0.0,0.0,,,
101,GPU 1,0.0,,0,0,,,,,
109,GPU 1,0.0,,0,0,,,,,
117,GPU 1,0.0,,0,0,,,,,
127,GPU 1,0.0,,0,0,,,,,
135,GPU 1,0.0,0.0,0,0,0.0,0.0,,,761282.0
143,GPU 1,0.0,0.0,0,0,0.0,0.0,,,2909800.0
151,GPU 1,0.0,0.0,0,0,0.0,0.0,,,
159,GPU 1,0.0,0.0,0,0,0.0,0.0,,,
167,GPU 1,0.0,0.0,0,0,0.0,0.0,,,
175,GPU 1,0.0,0.0,0,0,0.0,0.0,,,
185,GPU 1,0.0,,0,0,,,,,
197,GPU 1,0.0,0.0,0,0,0.0,0.0,0.0,1579906.0,990700.0
205,GPU 1,0.0,0.0,0,0,0.0,0.0,0.0,865589.0,380650.0
213,GPU 1,0.0,0.0,0,0,0.0,0.0,0.0,1183616.0,703912.0
221,GPU 1,0.0,0.0,0,0,0.0,0.0,0.0,1188617.0,709000.0
229,GPU 1,0.0,0.0,0,0,0.0,0.0,0.0,1194052.0,714345.0
233,GPU 1,0.0,0.0,0,0,0.0,0.0,,1194052.0,
243,GPU 1,0.0,0.0,0,0,0.0,0.0,,1298617.0,
251,GPU 1,0.0,0.0,0,0,0.0,0.0,,3499527.0,
259,GPU 1,0.0,,0,0,,,,6209633.0,
267,GPU 1,0.0,0.0,0,0,0.0,0.0,,1537947.0,
275,GPU 1,0.0,0.0,0,0,0.0,0.0,,3597765.0,
283,GPU 1,0.0,0.0,0,0,0.0,0.0,,3895160.0,
291,GPU 1,0.0,0.0,0,0,0.0,0.0,,1908323.0,
301,GPU 1,0.0,0.0,0,0,0.0,0.0,,1439140.0,
309,GPU 1,0.0,0.0,0,0,0.0,0.0,,1543582.0,
317,GPU 1,0.0,0.0,0,0,0.0,0.0,,1465188.0,
325,GPU 1,0.0,,0,0,,,,1735885.0,
333,GPU 1,0.0,,0,0,,,,1324388.0,
341,GPU 1,0.0,,0,0,,,,1528009.0,
349,GPU 1,0.0,,0,0,,,,,
359,GPU 1,0.0,0.0,0,0,0.0,0.0,,,
367,GPU 1,0.0,0.0,0,0,0.0,0.0,,,
375,GPU 1,0.0,0.0,0,0,0.0,0.0,,,
387,GPU 1,0.0,0.0,0,0,0.0,0.0,0.0,3180072.0,5753731.0
391,GPU 1,0.0,0.0,0,0,0.0,0.0,0.0,3180072.0,3086234.0
395,GPU 1,0.0,0.0,0,0,0.0,0.0,0.0,5151468.0,4348506.0
399,GPU 1,0.0,0.0,0,0,0.0,0.0,0.0,3942808.0,3181366.0
403,GPU 1,0.0,0.0,0,0,0.0,0.0,0.0,3942808.0,3181366.0
407,GPU 1,0.0,0.0,0,0,0.0,0.0,0.0,4057487.0,3181366.0
413,GPU 1,0.0,0.0,0,0,0.0,0.0,0.0,4057487.0,3619404.0
417,GPU 1,0.0,0.0,0,0,0.0,0.0,0.0,4057487.0,3619404.0
421,GPU 1,0.0,0.0,0,0,0.0,0.0,0.0,3618515.0,3044975.0
429,GPU 1,0.0,0.0,0,0,0.0,0.0,0.0,5812838.0,4775390.0
437,GPU 1,0.0,0.0,0,0,0.0,0.0,0.0,4060429.0,3547042.0
