,#Entity,SMACT,SMOCC,GPUTL,MCUTL,DRAMA,NVLTX,NVLRX,PCITX,PCIRX
16,GPU 0,0.771,0.419,91,23,0.173,0.0,0.0,16032271.0,121208339.0
20,GPU 0,0.771,,93,24,,,,,
24,GPU 0,0.738,0.418,93,24,0.195,0.0,0.0,18775215.0,161359599.0
28,GPU 0,0.738,,93,24,,,,,
32,GPU 0,0.778,0.443,93,24,0.173,0.0,0.0,16093766.0,114689533.0
36,GPU 0,0.778,,93,22,,,,,
40,GPU 0,0.751,0.413,93,22,0.169,0.0,0.0,15793555.0,117755048.0
44,GPU 0,0.751,,93,22,,,,,
48,GPU 0,0.758,0.427,93,22,0.197,0.0,0.0,19216922.0,169051785.0
52,GPU 0,0.758,,92,23,,,,,
56,GPU 0,0.75,0.424,92,23,0.17,0.0,0.0,16115242.0,116113056.0
60,GPU 0,0.75,,92,23,,,,,
66,GPU 0,0.755,0.421,92,23,0.169,0.0,0.0,15583462.0,115735331.0
70,GPU 0,0.755,,92,23,,,,,
74,GPU 0,0.752,0.424,92,23,0.196,0.0,0.0,18100611.0,153805743.0
78,GPU 0,0.752,,92,23,,,,,
82,GPU 0,0.744,0.413,92,23,0.168,0.0,0.0,16595769.0,117263237.0
86,GPU 0,0.744,,92,22,,,,,
90,GPU 0,0.764,,92,22,,,0.0,18455735.0,
94,GPU 0,0.764,0.433,92,22,0.171,0.0,,,116608822.0
98,GPU 0,0.752,,92,22,,,0.0,24486169.0,
102,GPU 0,0.752,0.424,91,23,0.197,0.0,,,171257498.0
106,GPU 0,0.744,,91,23,,,0.0,16979469.0,
110,GPU 0,0.744,0.406,91,23,,,,,118928914.0
114,GPU 0,0.772,,91,23,0.173,0.0,0.0,16427812.0,
118,GPU 0,0.772,0.44,91,23,,,,,114250336.0
124,GPU 0,0.713,,91,23,0.189,0.0,0.0,17188664.0,
128,GPU 0,0.713,0.409,91,23,,,,,142555007.0
132,GPU 0,0.753,,91,23,0.167,0.0,0.0,15412307.0,
136,GPU 0,0.753,0.408,90,21,,,,,115280313.0
