,#Entity,SMACT,SMOCC,GPUTL,MCUTL,DRAMA,NVLTX,NVLRX,PCITX,PCIRX
15,GPU 1,0.769,0.444,92,23,0.19,5204.0,0.0,14368547.0,106543739.0
19,GPU 1,0.769,,92,23,,,,,
23,GPU 1,0.772,0.425,94,22,0.17,0.0,0.0,15039541.0,112013085.0
27,GPU 1,0.772,,94,22,,,,,
31,GPU 1,0.752,0.407,94,22,0.17,1023328260.0,511679744.0,14531683.0,107275264.0
35,GPU 1,0.752,,94,22,,,,,
39,GPU 1,0.682,0.379,92,22,0.17,7446016863.0,7958284255.0,12855668.0,92772383.0
43,GPU 1,0.682,,92,22,,,,,
47,GPU 1,0.782,0.442,92,22,0.172,0.0,0.0,14885590.0,109353637.0
51,GPU 1,0.782,,92,22,,,,,
55,GPU 1,0.788,0.424,94,22,0.173,0.0,0.0,15799722.0,115469118.0
59,GPU 1,0.788,,94,22,,,,,
65,GPU 1,0.709,0.4,94,22,0.188,8441974207.0,8441984593.0,13965213.0,100992020.0
69,GPU 1,0.709,,94,22,,,,,
73,GPU 1,0.781,0.444,89,23,0.171,0.0,0.0,14442574.0,106823005.0
77,GPU 1,0.781,,89,23,,,,,
81,GPU 1,0.76,,89,23,,,,17506525.0,
85,GPU 1,0.76,0.411,89,23,0.167,0.0,,,114773679.0
89,GPU 1,0.739,,93,23,,,,19046113.0,
93,GPU 1,0.739,0.411,93,23,0.193,8463503441.0,,,107695410.0
97,GPU 1,0.774,,93,23,,,0.0,16572092.0,
101,GPU 1,0.774,0.438,93,23,0.17,0.0,,,
105,GPU 1,0.762,,94,23,,,0.0,15677463.0,112239812.0
109,GPU 1,0.762,0.415,94,22,0.167,0.0,,,112239812.0
113,GPU 1,0.729,,94,22,,,8462059526.0,14331612.0,
117,GPU 1,0.729,0.405,94,22,0.19,8462049115.0,,,102622255.0
123,GPU 1,0.761,,92,23,,,0.0,14997470.0,
127,GPU 1,0.761,0.425,92,23,0.167,0.0,0.0,14997470.0,107668408.0
131,GPU 1,0.761,0.425,92,23,0.167,0.0,0.0,14997470.0,107668408.0
135,GPU 1,0.773,0.427,92,23,0.169,0.0,0.0,15635862.0,111522633.0
139,GPU 1,0.773,,93,23,,,,,
143,GPU 1,0.738,0.413,93,23,0.195,8459414317.0,8459403908.0,14951616.0,106003993.0
147,GPU 1,0.738,,93,23,,,,,
151,GPU 1,0.748,0.415,93,23,0.164,0.0,0.0,15007878.0,
155,GPU 1,0.748,,89,21,,,,,106087306.0
159,GPU 1,0.747,0.418,89,21,0.165,0.0,0.0,14768619.0,
163,GPU 1,0.747,,89,21,,,,,109937271.0
167,GPU 1,0.753,0.421,89,21,0.199,8460142224.0,8460131815.0,15291185.0,
171,GPU 1,0.753,,92,23,,,,,109992647.0
175,GPU 1,0.749,0.41,92,23,0.164,0.0,0.0,17733359.0,
181,GPU 1,0.749,,92,23,,,,,106944863.0
185,GPU 1,0.762,0.431,90,23,0.167,0.0,0.0,14516177.0,
189,GPU 1,0.762,,90,23,,,,,107959907.0
193,GPU 1,0.729,0.41,90,23,0.195,8450766371.0,8450797565.0,16334875.0,
197,GPU 1,0.729,,90,23,,,0.0,,110741214.0
201,GPU 1,0.75,0.404,90,21,0.164,0.0,,16880552.0,
