#Entity   SMACT        SMOCC        GPUTL             MCUTL             DRAMA        NVLTX                       NVLRX                       PCITX                       PCIRX                       
ID                                                                                                                                                                                                   
GPU 3     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 2     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 1     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          91                23                N/A          N/A                         N/A                         N/A                         N/A                         
GPU 3     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 2     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 1     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          91                23                N/A          N/A                         N/A                         N/A                         N/A                         
GPU 3     0.000        0.000        0                 0                 0.000        0                           0                           876033                      302440                      
GPU 2     0.000        0.000        0                 0                 0.000        0                           0                           500543                      31283                       
GPU 1     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          91                23                N/A          N/A                         N/A                         N/A                         N/A                         
GPU 3     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 2     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 1     0.000        0.000        0                 0                 0.000        0                           0                           1032148                     557777                      
GPU 0     0.767        0.437        91                23                0.171        0                           0                           15010745                    112081618                   
GPU 3     0.000        0.000        0                 0                 0.000        0                           0                           2575763                     2085638                     
GPU 2     0.000        0.000        0                 0                 0.000        0                           0                           1402636                     922924                      
GPU 1     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          92                23                N/A          N/A                         N/A                         N/A                         N/A                         
GPU 3     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 2     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 1     0.000        0.000        0                 0                 0.000        0                           0                           1194041                     714339                      
GPU 0     0.732        0.418        92                23                0.191        0                           0                           17741656                    149622684                   
GPU 3     0.000        0.000        0                 0                 0.000        0                           0                           1204158                     724580                      
GPU 2     0.000        0.000        0                 0                 0.000        0                           0                           1507041                     1022076                     
GPU 1     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          92                23                N/A          N/A                         N/A                         N/A                         N/A                         
GPU 3     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 2     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 1     0.000        0.000        0                 0                 0.000        0                           0                           1183811                     704028                      
GPU 0     0.764        0.415        92                22                0.170        0                           0                           15656122                    117075374                   
GPU 3     0.000        0.000        0                 0                 0.000        0                           0                           3477866                     2664452                     
