#Entity   SMACT        SMOCC        GPUTL             MCUTL             DRAMA        NVLTX                       NVLRX                       PCITX                       PCIRX                       
ID                                                                                                                                                                                                   
GPU 3     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 2     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 1     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 3     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 2     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 1     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 3     0.000        N/A          0                 0                 N/A          N/A                         N/A                         N/A                         1861462                     
GPU 2     0.000        0.000        0                 0                 0.000        N/A                         N/A                         1243282                     N/A                         
GPU 1     0.000        N/A          0                 0                 N/A          N/A                         0                           2784408                     N/A                         
GPU 0     0.000        N/A          0                 0                 N/A          N/A                         0                           2955767                     N/A                         
GPU 3     N/A          0.000        0                 0                 0.000        0                           0                           2440236                     N/A                         
GPU 2     N/A          N/A          0                 0                 N/A          0                           0                           N/A                         795908                      
GPU 1     N/A          0.000        0                 0                 0.000        0                           N/A                         N/A                         2111770                     
GPU 0     N/A          0.000        0                 0                 0.000        0                           N/A                         N/A                         2262439                     
GPU 3     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 2     0.000        0.000        0                 0                 0.000        N/A                         N/A                         6533190                     5547736                     
GPU 1     0.000        N/A          0                 0                 N/A          N/A                         0                           6335371                     5360297                     
GPU 0     0.000        N/A          0                 0                 N/A          N/A                         0                           6955558                     N/A                         
GPU 3     0.000        N/A          0                 0                 N/A          0                           N/A                         N/A                         5203630                     
GPU 2     N/A          N/A          0                 0                 N/A          0                           0                           N/A                         N/A                         
GPU 1     N/A          0.000        0                 0                 0.000        0                           N/A                         N/A                         N/A                         
GPU 0     N/A          0.000        0                 0                 0.000        0                           N/A                         N/A                         5975314                     
GPU 3     N/A          0.000        0                 0                 N/A          N/A                         0                           6199515                     N/A                         
GPU 2     0.000        0.000        0                 0                 0.000        N/A                         N/A                         1886614                     1287275                     
GPU 1     0.000        N/A          0                 0                 N/A          N/A                         0                           1579880                     1089752                     
GPU 0     0.000        N/A          0                 0                 0.000        0                           0                           1584782                     N/A                         
GPU 3     0.000        N/A          0                 0                 0.000        0                           N/A                         N/A                         1079347                     
GPU 2     N/A          N/A          0                 0                 N/A          0                           0                           N/A                         N/A                         
GPU 1     N/A          0.000        0                 0                 0.000        0                           N/A                         N/A                         N/A                         
GPU 0     N/A          0.000        0                 0                 N/A          N/A                         N/A                         N/A                         1105177                     
GPU 3     N/A          0.000        0                 0                 0.000        N/A                         0                           1574700                     N/A                         
