,#Entity,SMACT,SMOCC,GPUTL,MCUTL,DRAMA,NVLTX,NVLRX,PCITX,PCIRX
12,GPU 0,0.0,,0,0,,,0.0,2955767.0,
20,GPU 0,0.0,,0,0,,,0.0,6955558.0,
28,GPU 0,0.0,,0,0,0.0,0.0,0.0,1584782.0,
36,GPU 0,0.0,,0,0,,,0.0,1245936.0,
44,GPU 0,0.0,,0,0,0.0,0.0,0.0,1240448.0,
52,GPU 0,0.0,,0,0,0.0,0.0,0.0,1225157.0,
60,GPU 0,0.0,0.0,0,0,0.0,0.0,0.0,2174264.0,1559004.0
70,GPU 0,0.0,0.0,0,0,0.0,0.0,0.0,1225377.0,745655.0
78,GPU 0,0.0,0.0,0,0,0.0,0.0,0.0,1240966.0,761265.0
86,GPU 0,0.0,0.0,0,0,0.0,0.0,0.0,1214943.0,735223.0
94,GPU 0,0.0,0.0,0,0,0.0,0.0,0.0,1212054.0,735520.0
102,GPU 0,0.0,0.0,0,0,0.0,0.0,0.0,1220027.0,735144.0
110,GPU 0,0.0,,0,0,,,0.0,2147687.0,
118,GPU 0,0.0,,0,0,,,0.0,5156695.0,
128,GPU 0,0.0,,0,0,,,0.0,4625722.0,
136,GPU 0,0.0,,0,0,,,0.0,1538151.0,
144,GPU 0,0.0,,0,0,,,0.0,2195180.0,
152,GPU 0,0.0,,0,0,0.0,0.0,0.0,1048082.0,
160,GPU 0,0.0,,0,0,0.0,0.0,0.0,1178444.0,
168,GPU 0,0.0,,0,0,0.0,0.0,0.0,1194047.0,
176,GPU 0,0.0,,0,0,0.0,0.0,0.0,1199020.0,
186,GPU 0,0.0,,0,0,0.0,0.0,0.0,1194057.0,
194,GPU 0,0.0,,0,0,0.0,0.0,0.0,1189104.0,
202,GPU 0,0.0,,0,0,0.0,0.0,0.0,1173471.0,
210,GPU 0,0.0,,0,0,,,0.0,1183626.0,
218,GPU 0,0.0,,0,0,,,0.0,3058529.0,
226,GPU 0,0.0,,0,0,,,0.0,8582053.0,
234,GPU 0,0.0,,0,0,,,0.0,2070132.0,
244,GPU 0,0.0,,0,0,,,0.0,2325444.0,
252,GPU 0,0.0,,0,0,,,0.0,2226475.0,
260,GPU 0,0.0,,0,0,,,0.0,2284043.0,
268,GPU 0,0.0,,0,0,,,0.0,2169100.0,
272,GPU 0,0.0,,0,0,,,0.0,2169100.0,
276,GPU 0,0.0,0.0,0,0,0.0,0.0,0.0,2434412.0,1954827.0
284,GPU 0,0.0,0.0,0,0,0.0,0.0,0.0,1970981.0,1470414.0
292,GPU 0,0.0,0.0,0,0,0.0,0.0,0.0,1152532.0,672745.0
302,GPU 0,0.0,0.0,0,0,0.0,0.0,0.0,2898931.0,2231551.0
314,GPU 0,0.0,,0,0,,,,,
322,GPU 0,0.0,,0,0,,,,,
330,GPU 0,0.0,,0,0,,,,,
342,GPU 0,0.0,0.0,0,0,0.0,0.0,0.0,1652605.0,1230330.0
350,GPU 0,0.0,0.0,0,0,0.0,0.0,0.0,,1418260.0
360,GPU 0,0.0,0.0,0,0,0.0,0.0,0.0,,1418561.0
368,GPU 0,0.0,0.0,0,0,0.0,0.0,0.0,,2446027.0
376,GPU 0,0.0,0.0,0,0,0.0,0.0,0.0,,1183435.0
384,GPU 0,0.0,0.0,0,0,0.0,0.0,0.0,,1460451.0
392,GPU 0,0.0,0.0,0,0,0.0,0.0,0.0,,1200388.0
400,GPU 0,0.0,0.0,0,0,0.0,0.0,0.0,,2236884.0
408,GPU 0,0.0,0.0,0,0,0.0,0.0,0.0,,1157564.0
414,GPU 0,0.0,,0,0,,,0.0,1684352.0,
422,GPU 0,0.0,,0,0,,,0.0,4202480.0,
430,GPU 0,0.0,,0,0,,,0.0,6495686.0,
438,GPU 0,0.0,,0,0,,,0.0,1501682.0,
446,GPU 0,0.0,,0,0,,,0.0,1157688.0,
454,GPU 0,0.0,,0,0,,,0.0,1169808.0,
462,GPU 0,0.0,,0,0,,,0.0,1543307.0,
472,GPU 0,0.0,,0,0,,,0.0,1183638.0,
480,GPU 0,0.0,,0,0,,,0.0,1689481.0,
488,GPU 0,0.0,,0,0,,,0.0,1188839.0,
492,GPU 0,0.0,,0,0,,,0.0,1188839.0,
496,GPU 0,0.0,0.0,0,0,0.0,0.0,0.0,995722.0,510894.0
