,#Entity,SMACT,SMOCC,GPUTL,MCUTL,DRAMA,NVLTX,NVLRX,PCITX,PCIRX
10,GPU 2,0.0,0.0,0,0,0.0,,,1243282.0,
18,GPU 2,0.0,0.0,0,0,0.0,,,6533190.0,5547736.0
26,GPU 2,0.0,0.0,0,0,0.0,,,1886614.0,1287275.0
34,GPU 2,0.0,0.0,0,0,0.0,,,1214316.0,734843.0
42,GPU 2,0.0,0.0,0,0,0.0,,,1261868.0,782149.0
50,GPU 2,0.0,0.0,0,0,0.0,,,1173156.0,693465.0
58,GPU 2,0.0,0.0,0,0,0.0,0.0,,1751649.0,1235538.0
68,GPU 2,0.0,0.0,0,0,0.0,0.0,0.0,1188821.0,709121.0
76,GPU 2,0.0,0.0,0,0,0.0,0.0,0.0,1209947.0,730140.0
84,GPU 2,0.0,0.0,0,0,0.0,0.0,0.0,1178670.0,693642.0
92,GPU 2,0.0,0.0,0,0,0.0,0.0,0.0,1175950.0,699354.0
100,GPU 2,0.0,0.0,0,0,0.0,0.0,0.0,1159585.0,683327.0
108,GPU 2,0.0,0.0,0,0,0.0,,,3790665.0,
112,GPU 2,0.0,0.0,0,0,0.0,0.0,0.0,3790665.0,3045045.0
122,GPU 2,0.0,0.0,0,0,0.0,,,1058407.0,604804.0
130,GPU 2,0.0,0.0,0,0,0.0,,,2257744.0,
138,GPU 2,0.0,0.0,0,0,0.0,,,1480971.0,933429.0
146,GPU 2,0.0,0.0,0,0,0.0,,,1611148.0,1131453.0
158,GPU 2,0.0,0.0,0,0,0.0,,,1600283.0,1146782.0
166,GPU 2,0.0,0.0,0,0,0.0,,,1449527.0,969827.0
174,GPU 2,0.0,0.0,0,0,0.0,,,1522792.0,1037793.0
184,GPU 2,0.0,0.0,0,0,0.0,,,1400194.0,930056.0
192,GPU 2,0.0,0.0,0,0,0.0,,,1579856.0,1001096.0
200,GPU 2,0.0,0.0,0,0,0.0,,,1376528.0,896828.0
204,GPU 2,0.0,0.0,0,0,0.0,0.0,0.0,1469942.0,896828.0
216,GPU 2,0.0,0.0,0,0,0.0,,,3660242.0,
224,GPU 2,0.0,0.0,0,0,0.0,,,6787388.0,
232,GPU 2,0.0,0.0,0,0,0.0,,,1454738.0,969825.0
242,GPU 2,0.0,0.0,0,0,0.0,,,1199525.0,724930.0
250,GPU 2,0.0,0.0,0,0,0.0,,,1183903.0,698868.0
258,GPU 2,0.0,0.0,0,0,0.0,,,1147085.0,667395.0
266,GPU 2,0.0,0.0,0,0,0.0,,,1152138.0,672515.0
270,GPU 2,0.0,0.0,0,0,0.0,,,1152138.0,672515.0
274,GPU 2,0.0,0.0,0,0,0.0,0.0,0.0,1538164.0,959397.0
282,GPU 2,0.0,0.0,0,0,0.0,0.0,0.0,829080.0,338932.0
290,GPU 2,0.0,0.0,0,0,0.0,0.0,0.0,1313929.0,829026.0
300,GPU 2,0.0,0.0,0,0,0.0,0.0,0.0,2945998.0,2330727.0
308,GPU 2,0.0,0.0,0,0,0.0,0.0,0.0,1444486.0,975158.0
316,GPU 2,0.0,0.0,0,0,0.0,0.0,0.0,4296266.0,3467253.0
324,GPU 2,0.0,0.0,0,0,0.0,0.0,0.0,3214871.0,2646928.0
332,GPU 2,0.0,0.0,0,0,0.0,0.0,0.0,6507180.0,5506075.0
340,GPU 2,0.0,0.0,0,0,0.0,0.0,0.0,1491467.0,1006479.0
348,GPU 2,0.0,0.0,0,0,0.0,0.0,0.0,1152284.0,672600.0
358,GPU 2,0.0,0.0,0,0,0.0,0.0,0.0,1496423.0,917667.0
366,GPU 2,0.0,0.0,0,0,0.0,0.0,0.0,1152338.0,672631.0
374,GPU 2,0.0,0.0,0,0,0.0,0.0,0.0,1157588.0,672652.0
382,GPU 2,0.0,0.0,0,0,0.0,0.0,0.0,1220096.0,740400.0
390,GPU 2,0.0,0.0,0,0,0.0,0.0,0.0,1209462.0,729848.0
398,GPU 2,0.0,0.0,0,0,0.0,0.0,0.0,1710242.0,1199255.0
406,GPU 2,0.0,0.0,0,0,0.0,0.0,0.0,1194277.0,714480.0
412,GPU 2,0.0,0.0,0,0,0.0,,,1194313.0,
