,#Entity,SMACT,SMOCC,GPUTL,MCUTL,DRAMA,NVLTX,NVLRX,PCITX,PCIRX
16,GPU 0,0.767,0.437,91,23,0.171,0.0,0.0,15010745.0,112081618.0
20,GPU 0,0.767,,92,23,,,,,
24,GPU 0,0.732,0.418,92,23,0.191,0.0,0.0,17741656.0,149622684.0
28,GPU 0,0.732,,92,23,,,,,
32,GPU 0,0.764,0.415,92,22,0.17,0.0,0.0,15656122.0,117075374.0
36,GPU 0,0.764,,92,22,,,,,
40,GPU 0,0.746,0.42,92,22,0.172,0.0,0.0,19315765.0,119053180.0
44,GPU 0,0.746,,92,22,,,,,
48,GPU 0,0.749,0.435,92,23,0.196,0.0,0.0,18911600.0,166706307.0
52,GPU 0,0.749,,92,23,,,,,
56,GPU 0,0.765,0.414,92,23,0.169,0.0,0.0,15701552.0,117571683.0
60,GPU 0,0.765,,92,23,,,,,
66,GPU 0,0.741,0.41,92,23,0.169,0.0,0.0,17445172.0,119481991.0
70,GPU 0,0.741,,91,23,,,,,
74,GPU 0,0.762,0.444,91,23,0.2,0.0,0.0,19106031.0,148615772.0
78,GPU 0,0.756,0.416,91,23,0.167,0.0,0.0,16662411.0,115981205.0
82,GPU 0,0.756,,92,22,,,,,
86,GPU 0,0.756,,92,22,,,,,
90,GPU 0,0.759,0.414,92,22,0.174,0.0,0.0,20352937.0,125121113.0
94,GPU 0,0.759,,92,22,,,,,
98,GPU 0,0.735,0.427,92,22,0.193,0.0,0.0,24275650.0,173236324.0
102,GPU 0,0.735,,92,23,,,,,
106,GPU 0,0.762,0.426,92,23,0.168,0.0,0.0,15677517.0,113228830.0
110,GPU 0,0.762,,92,23,,,,,
114,GPU 0,0.765,0.416,89,23,0.173,0.0,0.0,15951345.0,119541384.0
118,GPU 0,0.765,,89,23,,,,,
124,GPU 0,0.686,0.393,89,23,0.185,0.0,0.0,18132189.0,149949998.0
128,GPU 0,0.686,,89,23,,,,,
132,GPU 0,0.779,0.443,93,22,0.171,0.0,0.0,15871797.0,111222310.0
136,GPU 0,0.779,,93,22,,,,,
140,GPU 0,0.749,0.411,93,22,0.169,0.0,0.0,15782339.0,117529503.0
144,GPU 0,0.749,,93,22,,,,,
148,GPU 0,0.751,0.413,91,23,0.177,0.0,0.0,16540005.0,121348891.0
152,GPU 0,0.751,,91,23,,,,,
156,GPU 0,0.731,0.423,91,23,0.185,0.0,0.0,18180699.0,162091291.0
160,GPU 0,0.731,,91,23,,,,,
164,GPU 0,0.762,0.427,93,22,0.171,0.0,0.0,15614899.0,115334845.0
168,GPU 0,0.762,,93,22,,,,,
172,GPU 0,0.767,0.415,93,22,0.172,0.0,0.0,16172559.0,121049470.0
176,GPU 0,0.767,,93,22,,,,,
182,GPU 0,0.728,0.421,92,23,0.193,0.0,0.0,17491132.0,146580471.0
186,GPU 0,0.728,,92,23,,,,,
190,GPU 0,0.767,0.434,92,23,0.17,0.0,0.0,15633836.0,114609966.0
194,GPU 0,0.773,,92,23,,,,19026078.0,
198,GPU 0,0.773,0.42,92,23,0.174,0.0,0.0,,124221445.0
