,#Entity,SMACT,SMOCC,GPUTL,MCUTL,DRAMA,NVLTX,NVLRX,PCITX,PCIRX
15,GPU 1,0.751,0.424,92,24,0.197,0.0,0.0,21086242.0,164092618.0
19,GPU 1,0.751,,93,24,,,,,
23,GPU 1,0.751,0.428,93,22,0.169,0.0,0.0,16274227.0,113029917.0
27,GPU 1,0.751,,93,22,,,,,
31,GPU 1,0.755,0.417,93,22,0.17,0.0,0.0,16528955.0,118040165.0
35,GPU 1,0.755,,91,22,,,,,
39,GPU 1,0.753,0.425,91,23,0.197,0.0,0.0,18953085.0,152655648.0
43,GPU 1,0.753,,91,23,,,,,
47,GPU 1,0.736,0.413,91,23,0.167,0.0,0.0,16110961.0,115149665.0
51,GPU 1,0.736,,92,23,,,,,
55,GPU 1,0.736,,92,23,,,,,
59,GPU 1,0.761,0.428,92,24,0.171,0.0,0.0,16256199.0,115230060.0
65,GPU 1,0.751,0.424,92,24,0.196,0.0,0.0,19351796.0,166408785.0
69,GPU 1,0.751,,92,24,,,,,
73,GPU 1,0.739,0.406,92,22,0.167,0.0,0.0,16839914.0,118238030.0
77,GPU 1,0.786,0.449,92,22,0.177,0.0,0.0,15863447.0,114756191.0
81,GPU 1,0.786,0.449,92,22,0.177,0.0,0.0,15863447.0,
85,GPU 1,0.786,,92,24,,,,,158527594.0
89,GPU 1,0.733,0.414,92,24,0.191,0.0,0.0,22310868.0,
93,GPU 1,0.733,,92,24,,,,,124037108.0
97,GPU 1,0.768,0.417,92,24,0.172,0.0,,20471790.0,
101,GPU 1,0.768,,92,24,,,0.0,,123211625.0
105,GPU 1,0.755,0.431,93,24,0.172,0.0,,26610133.0,
109,GPU 1,0.755,,93,24,,,0.0,,165318065.0
113,GPU 1,0.74,,93,24,,,,19041925.0,
117,GPU 1,0.74,0.418,93,22,0.171,0.0,0.0,,118642783.0
123,GPU 1,0.772,,93,22,,,,15829795.0,
127,GPU 1,0.772,0.421,93,22,0.17,0.0,0.0,,115918385.0
131,GPU 1,0.749,,93,22,,,,15566004.0,
135,GPU 1,0.749,0.438,93,24,0.197,0.0,0.0,,151457143.0
139,GPU 1,0.753,,93,24,,,,17976197.0,
143,GPU 1,0.753,0.415,93,24,0.17,0.0,0.0,,117729241.0
147,GPU 1,0.764,,93,24,,,,15849767.0,
151,GPU 1,0.764,0.402,93,24,0.167,0.0,0.0,,115297646.0
155,GPU 1,0.726,,91,24,,,,15297080.0,
159,GPU 1,0.726,0.444,91,24,0.199,0.0,0.0,,159254539.0
163,GPU 1,0.763,,91,24,,,,18582386.0,
167,GPU 1,0.763,0.418,91,22,0.168,0.0,0.0,,114275759.0
171,GPU 1,0.759,,92,22,,,,15318689.0,
175,GPU 1,0.759,0.417,92,22,0.174,0.0,0.0,,122866123.0
181,GPU 1,0.764,,92,22,,,,16380761.0,
185,GPU 1,0.764,0.413,92,23,0.188,0.0,0.0,,148720349.0
189,GPU 1,0.712,,91,23,,,,17904459.0,
193,GPU 1,0.712,0.424,91,23,0.322,0.0,0.0,,220974139.0
197,GPU 1,0.712,,91,23,,,,,
201,GPU 1,0.72,0.414,92,24,0.194,0.0,0.0,24826441.0,168166366.0
205,GPU 1,0.72,,92,24,,,,,
209,GPU 1,0.79,0.45,92,24,0.174,0.0,0.0,16183947.0,112590764.0
213,GPU 1,0.79,,92,24,,,,,
217,GPU 1,0.744,0.405,93,22,0.166,0.0,0.0,16311445.0,117076738.0
221,GPU 1,0.744,,93,22,,,,,
225,GPU 1,0.743,0.414,93,22,0.182,0.0,0.0,19793373.0,124589475.0
229,GPU 1,0.743,,93,22,,,,,
233,GPU 1,0.763,0.438,92,24,0.184,0.0,0.0,18598719.0,146839386.0
239,GPU 1,0.763,,92,24,,,,,
243,GPU 1,0.748,0.415,92,24,0.168,0.0,0.0,16354268.0,115989345.0
247,GPU 1,0.748,,92,24,,,,,
251,GPU 1,0.768,0.418,92,23,0.173,0.0,0.0,17604798.0,121375799.0
255,GPU 1,0.768,,92,23,,,,,
259,GPU 1,0.728,0.422,92,23,0.192,0.0,0.0,22305948.0,165842591.0
263,GPU 1,0.728,,92,23,,,,,
267,GPU 1,0.738,0.418,91,22,0.166,0.0,0.0,15707344.0,111300286.0
271,GPU 1,0.738,,91,22,,,,,
275,GPU 1,0.738,0.416,91,22,0.172,0.0,0.0,16821579.0,120998788.0
279,GPU 1,0.766,,92,22,,,,,
283,GPU 1,0.766,0.414,92,23,0.193,0.0,0.0,18535024.0,149303854.0
287,GPU 1,0.728,,92,23,,,,,
291,GPU 1,0.728,0.434,92,23,0.17,0.0,0.0,15846887.0,112646172.0
297,GPU 1,0.763,,92,23,,,,,
301,GPU 1,0.763,0.408,92,22,0.167,0.0,0.0,18733381.0,118151994.0
305,GPU 1,0.738,,92,22,,,,,
309,GPU 1,0.738,0.423,92,22,0.196,0.0,0.0,25055521.0,167814212.0
313,GPU 1,0.738,,92,24,,,,,
317,GPU 1,0.747,0.419,92,24,0.168,0.0,0.0,17204964.0,117397360.0
321,GPU 1,0.747,,92,24,,,,,
325,GPU 1,0.742,0.418,92,24,0.166,0.0,0.0,15240068.0,111944288.0
329,GPU 1,0.742,,91,23,,,,,
333,GPU 1,0.752,0.424,91,23,0.196,0.0,0.0,18299157.0,156830595.0
337,GPU 1,0.752,,91,23,,,,,
341,GPU 1,0.736,0.405,91,23,0.168,0.0,0.0,15697178.0,115749854.0
345,GPU 1,0.736,,91,22,,,,,
349,GPU 1,0.775,0.442,91,22,0.173,0.0,0.0,15952527.0,113696217.0
355,GPU 1,0.775,,91,22,,,,,
359,GPU 1,0.724,0.412,91,22,0.19,0.0,0.0,18010419.0,156476565.0
363,GPU 1,0.724,,91,23,,,,,
367,GPU 1,0.769,0.417,91,23,0.171,0.0,0.0,15709730.0,117796954.0
371,GPU 1,0.769,,91,23,,,,,
375,GPU 1,0.769,0.401,91,23,0.163,0.0,0.0,14975006.0,110776513.0
379,GPU 1,0.757,,90,23,,,,,
383,GPU 1,0.757,0.441,90,23,0.198,0.0,0.0,18041897.0,151893411.0
387,GPU 1,0.751,,90,23,,,,,
391,GPU 1,0.751,0.408,90,23,0.167,0.0,0.0,,115476162.0
395,GPU 1,0.734,,92,22,,,,16514739.0,
399,GPU 1,0.734,0.404,92,22,0.168,0.0,0.0,,118251567.0
403,GPU 1,0.753,,92,22,,,,20159453.0,
407,GPU 1,0.753,0.438,92,22,0.197,0.0,0.0,,152881926.0
413,GPU 1,0.758,,92,23,,,,21697421.0,
417,GPU 1,0.758,0.421,92,23,0.168,0.0,0.0,,119028681.0
421,GPU 1,0.758,,92,23,,,,,
425,GPU 1,0.764,,92,23,,,,16445686.0,
429,GPU 1,0.764,0.414,91,23,0.171,0.0,0.0,,120625991.0
433,GPU 1,0.716,,91,23,,,,19048038.0,
437,GPU 1,0.716,0.416,91,23,0.193,0.0,0.0,,160117040.0
441,GPU 1,0.761,,91,23,,,,14807636.0,
445,GPU 1,0.761,0.432,93,22,0.168,0.0,0.0,,109700254.0
449,GPU 1,0.765,,93,22,,,,15746615.0,
453,GPU 1,0.765,0.414,93,22,0.171,0.0,,,119669080.0
457,GPU 1,0.728,,93,22,,,0.0,17773268.0,
461,GPU 1,0.728,0.415,86,22,0.196,0.0,,,149091619.0
465,GPU 1,0.75,,86,22,,,0.0,14526736.0,
471,GPU 1,0.75,0.426,86,22,0.165,0.0,,,106945488.0
475,GPU 1,0.0,,86,22,,,0.0,1224253.0,739761.0
483,GPU 1,0.0,,0,0,,,,,
487,GPU 1,0.0,,0,0,0.0,0.0,0.0,2341274.0,1746830.0
495,GPU 1,0.0,0.0,0,0,0.0,0.0,0.0,855044.0,364958.0
499,GPU 1,0.0,0.0,0,0,,,0.0,855044.0,364958.0
507,GPU 1,0.0,0.0,0,0,,,0.0,3012788.0,2387296.0
515,GPU 1,0.0,0.0,0,0,,,0.0,2252336.0,1757030.0
523,GPU 1,0.0,0.0,0,0,,,0.0,5913235.0,4896409.0
533,GPU 1,0.0,0.0,0,0,,,0.0,1637132.0,1141821.0
541,GPU 1,0.0,0.0,0,0,,,0.0,1204401.0,724726.0
549,GPU 1,0.0,0.0,0,0,,,0.0,1199173.0,771642.0
557,GPU 1,0.0,0.0,15,0,,,0.0,1240910.0,761230.0
561,GPU 1,0.0,,15,3,0.036,0.0,,,
565,GPU 1,0.165,0.09,15,3,,,0.0,4836266.0,26745388.0
569,GPU 1,0.165,,15,3,0.17,0.0,,,
573,GPU 1,0.757,0.411,90,23,,,0.0,17222669.0,119819606.0
577,GPU 1,0.757,0.411,90,23,,,0.0,17222669.0,119819606.0
581,GPU 1,0.713,0.414,90,23,0.193,0.0,0.0,19994523.0,158019724.0
587,GPU 1,0.763,0.432,90,23,0.169,0.0,0.0,15816697.0,111211476.0
591,GPU 1,0.763,,93,22,,,,,
595,GPU 1,0.764,0.415,93,22,0.171,0.0,0.0,15888238.0,119712522.0
599,GPU 1,0.764,,93,22,,,,,
603,GPU 1,0.734,0.417,93,22,0.197,0.0,0.0,19566422.0,154063452.0
607,GPU 1,0.734,,91,23,,,,,
611,GPU 1,0.771,0.439,91,23,0.169,0.0,0.0,18382468.0,113525639.0
615,GPU 1,0.771,,91,23,,,,,
619,GPU 1,0.748,0.411,91,23,0.168,0.0,0.0,22026362.0,123290351.0
623,GPU 1,0.748,,92,24,,,,,
627,GPU 1,0.748,0.41,92,24,0.172,0.0,0.0,16316251.0,119366263.0
631,GPU 1,0.748,,92,24,,,,,
635,GPU 1,0.736,,92,24,,,0.0,17871628.0,155911505.0
639,GPU 1,0.736,0.428,91,22,0.191,0.0,,,
645,GPU 1,0.75,,91,22,,,0.0,15404038.0,113190043.0
649,GPU 1,0.75,0.42,91,22,0.167,0.0,,,
653,GPU 1,0.761,,91,22,,,0.0,17730970.0,121851603.0
657,GPU 1,0.761,0.412,91,23,0.17,0.0,,,
661,GPU 1,0.718,,91,23,,,0.0,18834302.0,147987526.0
665,GPU 1,0.718,0.412,91,23,0.191,0.0,,,
669,GPU 1,0.776,,91,23,,,0.0,16876922.0,114818238.0
673,GPU 1,0.776,0.442,92,22,0.173,0.0,,,
677,GPU 1,0.743,,92,22,,,0.0,16898780.0,118546480.0
681,GPU 1,0.743,,92,22,,,,,
685,GPU 1,0.744,0.42,92,22,0.195,0.0,0.0,22583501.0,164369569.0
689,GPU 1,0.744,,91,23,,,,,
693,GPU 1,0.742,0.42,91,23,0.168,0.0,0.0,16934369.0,115536858.0
697,GPU 1,0.742,,91,23,,,,,
703,GPU 1,0.751,0.42,91,23,0.169,0.0,0.0,16886278.0,115871934.0
707,GPU 1,0.751,,92,23,,,,,
711,GPU 1,0.75,0.423,92,23,0.196,0.0,0.0,19082411.0,151681503.0
715,GPU 1,0.75,,92,23,,,,,
719,GPU 1,0.736,0.407,92,22,0.163,0.0,0.0,19373838.0,117960604.0
723,GPU 1,0.736,,91,22,,,,,
727,GPU 1,0.765,,91,22,,,,,
731,GPU 1,0.765,,91,22,,,,,
735,GPU 1,0.746,0.421,91,22,0.186,0.0,0.0,18283541.0,154706133.0
739,GPU 1,0.746,,91,23,,,,,
743,GPU 1,0.762,0.415,91,23,0.172,0.0,0.0,26170121.0,130272981.0
747,GPU 1,0.762,,91,23,,,,,
751,GPU 1,0.748,0.426,91,23,0.168,0.0,0.0,16274647.0,112059298.0
755,GPU 1,0.748,,92,24,,,,,
761,GPU 1,0.732,0.42,92,24,0.193,0.0,0.0,18959720.0,151485094.0
765,GPU 1,0.732,,92,24,,,,,
769,GPU 1,0.732,0.411,92,24,0.168,0.0,0.0,16705469.0,117859717.0
773,GPU 1,0.735,,92,22,,,,,
777,GPU 1,0.735,0.412,92,22,0.168,0.0,0.0,17207874.0,116497257.0
781,GPU 1,0.757,,92,22,,,,,
785,GPU 1,0.757,0.441,92,22,0.198,0.0,0.0,19462678.0,160620278.0
789,GPU 1,0.75,,92,23,,,,16405476.0,
793,GPU 1,0.75,0.41,92,23,0.166,0.0,0.0,,116067054.0
797,GPU 1,0.737,,92,23,,,0.0,16884059.0,
801,GPU 1,0.737,0.404,91,23,0.168,0.0,,,119393675.0
805,GPU 1,0.756,,91,24,,,0.0,19013851.0,149691243.0
809,GPU 1,0.756,0.441,91,24,0.198,0.0,0.0,19013851.0,149691243.0
813,GPU 1,0.756,0.441,91,24,0.198,0.0,0.0,19013851.0,149691243.0
819,GPU 1,0.757,0.421,91,22,0.166,0.0,0.0,16486177.0,113983457.0
823,GPU 1,0.757,,91,22,,,,,
827,GPU 1,0.767,0.417,91,22,0.173,0.0,0.0,18397079.0,121980068.0
831,GPU 1,0.767,,91,22,,,,,
835,GPU 1,0.722,0.418,91,24,0.194,0.0,0.0,19158456.0,162334774.0
839,GPU 1,0.722,,92,24,,,,,
843,GPU 1,0.765,0.433,92,24,0.168,0.0,0.0,20432596.0,115529958.0
847,GPU 1,0.765,,92,24,,,,,
851,GPU 1,0.767,0.417,92,24,0.172,0.0,0.0,17543650.0,121826860.0
855,GPU 1,0.767,,92,24,,,,,
859,GPU 1,0.731,,92,24,,,,19801974.0,
863,GPU 1,0.731,,92,24,,,,19801974.0,
867,GPU 1,0.77,0.438,93,22,0.17,0.0,0.0,15970636.0,110988118.0
871,GPU 1,0.77,,93,22,,,,,
877,GPU 1,0.749,0.411,93,22,0.168,0.0,0.0,15730599.0,117575947.0
881,GPU 1,0.749,,93,22,,,,,
885,GPU 1,0.749,0.411,91,24,0.173,0.0,,,120611354.0
889,GPU 1,0.741,,91,24,,,0.0,18928200.0,
893,GPU 1,0.741,0.43,91,24,0.192,0.0,,,158694862.0
897,GPU 1,0.737,,91,24,,,0.0,15862373.0,
901,GPU 1,0.737,0.414,92,22,0.165,0.0,,,112103473.0
905,GPU 1,0.766,,92,22,,,0.0,16742478.0,
909,GPU 1,0.766,0.415,92,22,0.171,0.0,,,121197027.0
913,GPU 1,0.726,,92,22,,,0.0,18994343.0,148285974.0
917,GPU 1,0.726,0.416,91,23,0.192,0.0,,,
921,GPU 1,0.786,,91,23,,,,16343383.0,
925,GPU 1,0.786,0.449,91,23,0.176,0.0,0.0,,115085744.0
929,GPU 1,0.75,,91,23,,,,18409684.0,
935,GPU 1,0.75,0.407,92,24,0.169,0.0,,,121403985.0
939,GPU 1,0.753,,92,24,,,0.0,20355329.0,164700690.0
943,GPU 1,0.753,0.425,92,24,0.197,0.0,,,164700690.0
947,GPU 1,0.75,,92,24,,,0.0,20421217.0,
951,GPU 1,0.75,0.428,93,22,0.168,0.0,,,
955,GPU 1,0.747,,93,22,,,0.0,15974595.0,116306084.0
959,GPU 1,0.747,0.413,93,22,0.168,0.0,,,
963,GPU 1,0.736,,93,23,,,0.0,17310776.0,145935967.0
967,GPU 1,0.736,,90,23,,,,,
971,GPU 1,0.728,0.404,90,23,0.165,0.0,0.0,15516270.0,114773542.0
975,GPU 1,0.728,,90,23,,,,,
979,GPU 1,0.757,0.429,90,23,0.169,0.0,0.0,15196661.0,112207482.0
983,GPU 1,0.757,,91,23,,,,,
987,GPU 1,0.742,0.42,91,23,0.196,0.0,0.0,18393766.0,159433459.0
993,GPU 1,0.742,,91,23,,,,,
997,GPU 1,0.758,0.414,91,22,0.172,0.0,0.0,16074383.0,119860799.0
1001,GPU 1,0.758,,91,22,,,,,
1005,GPU 1,0.755,0.429,91,22,0.169,0.0,0.0,15069278.0,111854007.0
1009,GPU 1,0.755,,91,22,,,,,
1013,GPU 1,0.726,0.418,92,23,0.192,0.0,0.0,17457254.0,146067182.0
1017,GPU 1,0.726,,92,23,,,,,
1021,GPU 1,0.752,0.407,92,23,0.167,0.0,0.0,15880740.0,115740459.0
1025,GPU 1,0.752,,92,23,,,,,
1029,GPU 1,0.733,0.41,92,23,0.168,0.0,0.0,15504996.0,115111593.0
1033,GPU 1,0.733,,89,23,,,,,
1037,GPU 1,0.751,0.436,89,23,0.197,0.0,0.0,17803591.0,147775017.0
1041,GPU 1,0.751,,89,23,,,,,
1045,GPU 1,0.749,0.41,92,22,0.301,0.0,0.0,34694009.0,215320853.0
1051,GPU 1,0.749,,92,22,,,,,
1055,GPU 1,0.718,0.418,92,22,0.19,0.0,0.0,19568964.0,155448655.0
1059,GPU 1,0.718,,92,22,,,,,
1063,GPU 1,0.764,0.429,91,23,0.168,0.0,0.0,16230257.0,113273563.0
1067,GPU 1,0.764,,91,23,,,,,
1071,GPU 1,0.765,0.415,91,23,0.172,0.0,0.0,18125351.0,122269317.0
1075,GPU 1,0.765,,91,23,,,,,
1079,GPU 1,0.715,0.411,91,24,0.193,0.0,0.0,19254124.0,154876239.0
1083,GPU 1,0.715,,91,24,,,,,
1087,GPU 1,0.789,0.449,91,24,0.174,0.0,0.0,16254159.0,112212511.0
1091,GPU 1,0.789,,91,24,,,,,
1095,GPU 1,0.74,0.403,93,22,0.167,0.0,0.0,16502873.0,118764537.0
1099,GPU 1,0.74,0.403,93,22,0.167,0.0,,,
1103,GPU 1,0.735,,93,22,,,0.0,19073892.0,120565325.0
1109,GPU 1,0.735,0.405,93,22,0.172,0.0,,,
1113,GPU 1,0.748,0.434,91,23,0.189,0.0,0.0,18730717.0,153927140.0
1117,GPU 1,0.748,,91,23,,,,,
1121,GPU 1,0.751,0.419,91,23,0.168,0.0,0.0,16704254.0,116201018.0
1125,GPU 1,0.751,,91,22,,,,,
1129,GPU 1,0.768,0.418,92,22,0.173,0.0,0.0,17175568.0,121014178.0
1133,GPU 1,0.768,,92,22,,,,,
1137,GPU 1,0.717,0.414,92,22,0.191,0.0,0.0,19041626.0,149687910.0
1141,GPU 1,0.717,,92,23,,,,,
1145,GPU 1,0.759,0.431,91,23,0.169,0.0,0.0,18839771.0,115454115.0
1149,GPU 1,0.759,,91,23,,,,,
1153,GPU 1,0.757,0.411,91,23,0.17,0.0,0.0,22722746.0,125872261.0
1157,GPU 1,0.757,,90,23,,,,,
1161,GPU 1,0.738,0.418,90,23,0.194,0.0,0.0,18569525.0,154473683.0
1167,GPU 1,0.738,,90,23,,,,,
1171,GPU 1,0.732,0.416,90,23,0.165,0.0,0.0,15703575.0,113191624.0
1175,GPU 1,0.732,,93,22,,,,,
1179,GPU 1,0.753,0.419,93,22,0.169,0.0,0.0,16082216.0,116114643.0
1183,GPU 1,0.753,,93,22,,,,,
1187,GPU 1,0.746,0.421,93,22,0.195,0.0,0.0,19105387.0,153232794.0
1191,GPU 1,0.746,,91,23,,,,,
1195,GPU 1,0.735,0.409,91,23,0.168,0.0,0.0,15803924.0,115239549.0
1199,GPU 1,0.735,,91,23,,,,,
