#Entity   SMACT        SMOCC        GPUTL             MCUTL             DRAMA        NVLTX                       NVLRX                       PCITX                       PCIRX                       
ID                                                                                                                                                                                                   
GPU 3     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 2     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 1     N/A          N/A          92                23                N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 3     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 2     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 1     N/A          N/A          92                24                N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 3     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 2     0.000        0.000        0                 0                 0.000        0                           0                           1383472                     891225                      
GPU 1     N/A          N/A          92                24                N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     0.000        0.000        0                 0                 0.000        0                           0                           3217208                     2403781                     
GPU 3     0.000        0.000        0                 0                 0.000        0                           0                           2106470                     1605923                     
GPU 2     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 1     0.751        0.424        92                24                0.197        0                           0                           21086242                    164092618                   
GPU 0     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 3     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 2     0.000        0.000        0                 0                 0.000        0                           0                           1157488                     693450                      
GPU 1     N/A          N/A          93                24                N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     0.000        0.000        0                 0                 0.000        0                           0                           1809346                     1355706                     
GPU 3     0.000        0.000        0                 0                 0.000        0                           0                           1194026                     714330                      
GPU 2     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 1     0.751        0.428        93                22                0.169        0                           0                           16274227                    113029917                   
GPU 0     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 3     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 2     0.000        0.000        0                 0                 0.000        0                           0                           1178361                     698674                      
GPU 1     N/A          N/A          93                22                N/A          N/A                         N/A                         N/A                         N/A                         
GPU 0     0.000        0.000        0                 0                 0.000        0                           0                           1908368                     1423455                     
GPU 3     0.000        0.000        0                 0                 0.000        0                           0                           1199288                     724787                      
GPU 2     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 1     0.755        0.417        93                22                0.170        0                           0                           16528955                    118040165                   
GPU 0     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
GPU 3     N/A          N/A          0                 0                 N/A          N/A                         N/A                         N/A                         N/A                         
