(tigraph) (base) yezhisheng@n122-228-066:~/tigraph$ torchrun --nnodes 1 --nproc_per_node 4 --master_port 2923 revgnn_pp_trainonall_sync_data.py --dataset ogbn-arxiv --num_layers 112 --pid 2452056
W0410 10:42:30.825000 140405272593408 torch/distributed/run.py:779] 
W0410 10:42:30.825000 140405272593408 torch/distributed/run.py:779] *****************************************
W0410 10:42:30.825000 140405272593408 torch/distributed/run.py:779] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0410 10:42:30.825000 140405272593408 torch/distributed/run.py:779] *****************************************
> initializing torch distributed ...
ogbn-arxiv load and processed successfully
Train nodes: 90941, Val nodes: 29799, Test nodes: 48603
Num of train batches: 1, num of train microbatches: 2, microbatch size: 84670
stage=2 layers=56 - 84
stage=0 layers=0 - 28
stage=1 layers=28 - 56
stage=3 layers=84 - 112
Training...
Epoch 00000 | Loss 3.8823 | Epoch Time 7.96s
Epoch 00001 | Loss 3.2861 | Epoch Time 4.02s
Epoch 00002 | Loss 3.2166 | Epoch Time 3.44s
Epoch 00003 | Loss 3.1576 | Epoch Time 3.44s
Epoch 00004 | Loss 3.1303 | Epoch Time 3.45s
Epoch 00005 | Loss 3.1184 | Epoch Time 3.47s
Epoch 00006 | Loss 3.1123 | Epoch Time 3.44s
Epoch 00007 | Loss 3.1077 | Epoch Time 3.44s
Epoch 00008 | Loss 3.1042 | Epoch Time 3.45s
Loading trained LM features (title and abstract) ...
LM_emb_path: ./lm_workloads/prt_lm/ogbn-arxiv2/microsoft/deberta-base-seed0.emb
Null embeddings found, override with gold embeddings.
Epoch 00009 | Loss 3.1020 | Epoch Time 3.32s
Epoch 00010 | Loss 3.1001 | Epoch Time 3.43s
Epoch 00011 | Loss 3.0985 | Epoch Time 3.44s
Epoch 00012 | Loss 3.0986 | Epoch Time 3.45s
Epoch 00013 | Loss 3.0971 | Epoch Time 3.45s
Epoch 00014 | Loss 3.0952 | Epoch Time 3.44s
Epoch 00015 | Loss 3.0927 | Epoch Time 3.43s
Epoch 00016 | Loss 3.0910 | Epoch Time 3.44s
Epoch 00017 | Loss 3.0890 | Epoch Time 3.43s
Epoch 00018 | Loss 3.0855 | Epoch Time 3.46s
Epoch 00019 | Loss 3.0826 | Epoch Time 3.40s
Epoch 00020 | Loss 3.0786 | Epoch Time 3.45s
Epoch 00021 | Loss 3.0723 | Epoch Time 3.44s
Epoch 00022 | Loss 3.0640 | Epoch Time 3.43s
Epoch 00023 | Loss 3.0556 | Epoch Time 3.44s
Epoch 00024 | Loss 3.0418 | Epoch Time 3.44s
Epoch 00025 | Loss 3.0251 | Epoch Time 3.43s
Epoch 00026 | Loss 3.0032 | Epoch Time 3.44s
Epoch 00027 | Loss 2.9775 | Epoch Time 3.45s
Epoch 00028 | Loss 2.9447 | Epoch Time 3.45s
Epoch 00029 | Loss 2.9079 | Epoch Time 3.38s
