Line_Number,Loss
32,3.6383
34,3.6402
36,3.632
40,3.3685
44,3.0319
46,2.9718
48,3.002
50,2.8274
61,2.9232
63,3.0145
65,2.8592
67,2.8587
69,2.9892
71,2.9385
73,3.0295
75,2.9191
77,2.9043
79,2.9057
90,2.9816
92,2.908
94,2.9152
96,2.8851
98,2.8664
100,2.9858
102,2.9452
104,2.8763
106,2.8281
108,2.763
119,2.6582
121,2.7946
123,2.5931
125,2.7562
127,2.8165
129,2.6481
131,2.7095
133,2.6477
135,2.7949
137,2.5992
148,2.7185
150,2.6598
152,2.6405
154,2.5127
156,2.5952
158,2.6425
160,2.6124
162,2.6428
164,2.7644
166,2.7624
177,2.8073
179,2.602
181,2.6549
183,2.5707
185,2.5911
187,2.6169
189,2.6469
191,2.614
193,2.6651
195,2.7488
206,2.5556
208,2.592
210,2.6209
212,2.8732
214,2.7494
216,2.5412
218,2.6924
220,2.5734
222,2.5798
224,2.5859
235,2.4825
237,2.5249
239,2.5629
241,2.5211
243,2.5421
245,2.5416
247,2.6035
249,2.5931
251,2.642
253,2.6018
264,2.5398
266,2.6084
268,2.5213
270,2.5655
272,2.5402
274,2.4997
276,2.5585
278,2.4954
280,2.6578
282,2.5617
293,2.4563
295,2.5753
297,2.5587
299,2.562
301,2.6381
303,2.5332
305,2.663
307,2.5453
309,2.4937
311,2.6103
322,2.4745
324,2.4809
326,2.4678
328,2.5652
330,2.4928
332,2.6145
334,2.5723
336,2.48
338,2.5885
340,2.626
351,2.5919
353,2.5371
355,2.4807
357,2.6221
359,2.516
361,2.4707
363,2.4271
365,2.6353
367,2.4788
369,2.6456
380,2.4749
382,2.4311
384,2.5493
386,2.4128
388,2.3416
390,2.4951
392,2.569
394,2.5522
396,2.5349
398,2.4164
409,2.3718
411,2.4562
413,2.6344
415,2.4693
417,2.5487
419,2.4386
421,2.5765
423,2.4526
425,2.4627
427,2.5985
438,2.5288
440,2.5632
442,2.5534
444,2.5742
446,2.5172
448,2.5858
450,2.5925
452,2.4886
454,2.4884
456,2.566
467,2.5439
469,2.4377
471,2.4578
473,2.5222
475,2.3987
477,2.4982
479,2.3999
481,2.4955
483,3.4712
485,3.4402
496,3.4577
498,3.4481
500,3.2624
502,3.2602
504,3.3427
506,3.1411
508,3.1332
510,3.1659
512,3.0474
514,3.1006
525,3.0496
527,3.1951
529,2.9611
531,3.0593
533,2.9541
535,3.0266
537,3.0159
539,3.0671
541,2.9453
543,2.7798
554,2.912
556,2.8401
558,2.9146
560,2.9001
562,2.8777
564,2.8813
566,2.7892
568,2.7133
570,2.8158
572,2.8089
583,2.7488
585,2.8376
587,2.8094
589,2.6115
591,2.7593
593,2.6556
595,2.7213
597,2.7566
599,2.6185
601,2.7751
612,2.8384
614,2.8795
616,2.639
618,2.7037
620,2.657
622,2.6652
624,2.6985
626,2.6889
628,2.8695
630,2.855
641,2.6464
643,2.7101
645,2.701
647,2.5837
649,2.615
651,2.6253
653,2.6455
655,2.6818
657,2.5727
659,2.6304
670,2.6283
672,2.7025
674,2.5118
676,2.5938
678,2.6285
680,2.7078
682,2.6158
684,2.6157
686,2.5545
688,2.6466
699,2.7391
701,2.5932
703,2.5673
705,2.5799
707,2.6355
709,2.601
711,2.4535
713,2.5312
715,2.5529
717,2.5596
728,2.7267
730,2.6197
732,2.5877
734,2.5478
736,2.6569
738,2.5493
740,2.6172
742,2.5654
744,2.6486
746,2.5618
757,2.5479
759,2.5199
761,2.5336
763,2.646
765,2.6267
767,2.6324
769,2.5622
771,2.5911
773,2.5435
775,2.4694
786,2.4764
788,2.5891
790,2.4404
792,2.5605
794,2.4703
796,2.4783
798,2.6697
800,2.5783
802,2.5473
804,2.5381
815,2.5505
817,2.5338
819,2.5514
821,2.5182
823,2.5392
825,2.6459
827,2.5701
829,2.5302
831,2.535
833,2.4869
844,2.3941
846,2.6286
848,2.5419
850,2.5788
852,2.497
854,2.5023
856,2.6228
858,2.5089
860,2.5383
862,2.5797
873,2.5432
875,2.4984
877,2.5411
879,2.5346
881,2.5599
883,2.6075
885,2.4838
887,2.5371
889,2.4965
891,2.3676
902,2.4438
904,2.5243
906,2.5154
908,2.5046
910,2.5937
912,2.5101
914,2.4911
916,2.5495
918,2.4737
920,2.4989
931,2.4988
933,2.5145
935,2.549
937,2.4208
939,2.5645
941,2.727
943,3.4113
945,3.3372
947,3.3278
949,3.3025
960,3.28
962,3.2842
964,3.2052
966,3.2091
968,3.0982
970,2.9665
972,3.0839
974,3.0157
976,2.9806
978,2.8944
989,3.0283
991,2.8229
993,2.9782
995,2.9461
997,2.8087
999,2.776
1001,2.9342
1003,2.8434
1005,2.847
1007,2.7753
1018,2.7998
1020,2.8381
1022,2.7173
1024,2.6403
1026,2.7645
1028,2.758
1030,2.6581
1032,2.6995
1034,2.6209
1036,2.6762
1047,2.6928
1049,2.6155
1051,2.5717
1053,2.7893
1055,2.535
1057,2.7513
1059,2.6171
1061,2.7384
1063,2.6583
1065,2.6815
1076,2.6979
1078,2.6389
1080,2.6876
1082,2.6749
1084,2.6598
1086,2.5723
1088,2.7359
1090,2.5497
1092,2.6605
1094,2.706
1105,2.5798
1107,2.7331
1109,2.6632
1111,2.6251
1113,2.5699
1115,2.5223
1117,2.5847
1119,2.5853
1121,2.6811
1123,2.6906
1134,2.5446
1136,2.7337
1138,2.6406
1140,2.5488
1142,2.6733
1144,2.7021
1146,2.5029
1148,2.6354
1150,2.6922
1152,2.6277
1163,2.6551
1165,2.6399
1167,2.5699
1169,2.4999
1171,2.5694
1173,2.5413
1175,2.5518
1177,2.5096
1179,2.6276
1181,2.5829
1192,2.531
1194,2.586
1196,2.5918
1198,2.4592
1200,2.546
1202,2.6439
1204,2.492
1206,2.5461
1208,2.6131
1210,2.5979
1221,2.5732
1223,2.4941
1225,2.4301
1227,2.5501
1229,2.6142
1231,2.4531
1233,2.4766
1235,2.4998
1237,2.371
1239,2.5238
1250,2.515
1252,2.5985
1254,2.5871
1256,2.4704
1258,2.4645
1260,2.4093
1262,2.4778
1264,2.5328
1266,2.6582
1268,2.53
1279,2.5307
1281,2.5158
1283,2.6196
1285,2.5335
1287,2.3359
1289,2.4556
1291,2.5562
