Iteration,Iter Time (s)
1,1.3392
2,0.8205
3,0.8198
4,0.8071
5,0.8166
6,0.8075
7,0.8216
8,0.8191
9,0.8274
10,0.8198
11,0.8379
12,0.8347
13,0.8371
14,0.8314
15,0.8315
16,0.8418
17,0.8451
18,0.8435
19,0.8411
20,0.8414
21,0.8348
22,0.8278
23,0.8295
24,0.8265
25,0.8267
26,0.8262
27,0.8270
28,0.8261
29,0.8251
30,0.8255
31,0.8303
32,0.8271
33,0.8257
34,0.8260
35,0.8266
36,0.8259
37,0.8262
38,0.8263
39,0.8277
40,0.8257
41,0.8329
42,0.8268
43,0.8258
44,0.8261
45,0.8260
46,0.8265
47,0.8266
48,0.8263
49,0.8269
50,0.8256
51,0.8295
52,0.8247
53,0.8231
54,0.8244
55,0.8235
56,0.8243
57,0.8258
58,0.8253
59,0.8260
60,0.8282
61,0.8274
62,0.8273
63,0.8237
64,0.8253
65,0.8259
66,0.8266
67,0.8269
68,0.8253
69,0.8261
70,0.8265
71,0.8291
72,0.8259
73,0.8265
74,0.8266
75,0.8270
76,0.8267
77,0.8261
78,0.8268
79,0.8272
80,0.8272
81,0.8284
82,0.8276
83,0.8255
84,0.8259
85,0.8253
86,0.8262
87,0.8261
88,0.8254
89,0.8262
90,0.8265
91,0.8285
92,0.8270
93,0.8288
94,0.8258
95,0.8270
96,0.8260
97,0.8267
98,0.8263
99,0.8251
100,0.8265
101,0.8282
102,0.8244
103,0.8241
104,0.8246
105,0.8241
106,0.8245
107,0.8240
108,0.8231
109,0.8242
110,0.8264
111,0.8268
112,0.8251
113,0.8267
114,0.8247
115,0.8245
116,0.8259
117,0.8241
118,0.8261
119,0.8255
120,0.8247
121,0.8280
122,0.8269
123,0.8256
124,0.8256
125,0.8257
126,0.8259
127,0.8254
128,0.8255
129,0.8262
130,0.8247
131,0.8283
132,0.8272
133,0.8259
134,0.8259
135,0.8262
136,0.8260
137,0.8259
138,0.8267
139,0.8268
140,0.8249
141,0.8311
142,0.8276
143,0.8235
144,0.8245
145,0.8264
146,0.8259
147,0.8249
148,0.8246
149,0.8253
150,0.8256
151,0.8269
152,0.8264
153,0.8264
154,0.8251
155,0.8238
156,0.8251
157,0.8224
158,0.8235
159,0.6258
160,0.6265
161,0.6328
162,0.6289
163,0.6266
164,0.6280
165,0.6292
166,0.6265
167,0.6304
168,0.6273
169,0.6318
170,0.6272
171,0.6268
172,0.6286
173,0.6281
174,0.6281
175,0.6277
176,0.6276
177,0.6282
178,0.6270
179,0.6297
180,0.6279
181,0.6318
182,0.6275
183,0.6269
184,0.6283
185,0.6276
186,0.6281
187,0.6280
188,0.6304
189,0.6305
190,0.6324
191,0.6310
192,0.6266
193,0.6292
194,0.6334
195,0.6288
196,0.6318
197,0.6328
198,0.6312
199,0.6301
200,0.6304
201,0.6337
202,0.6267
203,0.6277
204,0.6265
205,0.6260
206,0.6264
207,0.6254
208,0.6264
209,0.6273
210,0.6263
211,0.6305
212,0.6263
213,0.6266
214,0.6267
215,0.6264
216,0.6272
217,0.6264
218,0.6296
219,0.6297
220,0.6279
221,0.6312
222,0.6265
223,0.6275
224,0.6283
225,0.6284
226,0.6272
227,0.6276
228,0.6281
229,0.6284
230,0.6279
231,0.6316
232,0.6264
233,0.6261
234,0.6257
235,0.6262
236,0.6262
237,0.6260
238,0.6262
239,0.6262
240,0.6265
241,0.6308
242,0.6255
243,0.6256
244,0.6263
245,0.6265
246,0.6266
247,0.6269
248,0.6266
249,0.6285
250,0.6265
251,0.6323
252,0.6264
253,0.6262
254,0.6308
255,0.6293
256,0.6289
257,0.6297
258,0.6270
259,0.6274
260,0.6270
261,0.6323
262,0.6282
263,0.6273
264,0.6286
265,0.6277
266,0.6274
267,0.6270
