Iteration,Iter Time (s)
1,1.3450
2,0.8467
3,0.8174
4,0.8175
5,0.8164
6,0.8226
7,0.8201
8,0.8183
9,0.8180
10,0.8075
11,0.8375
12,0.8354
13,0.8373
14,0.8323
15,0.8332
16,0.8441
17,0.8449
18,0.8446
19,0.8435
20,0.8450
21,0.8494
22,0.8244
23,0.8253
24,0.8258
25,0.8245
26,0.7332
27,0.6257
28,0.6260
29,0.6259
30,0.6270
31,0.6380
32,0.6263
33,0.6279
34,0.6263
35,0.6287
36,0.6363
37,0.6260
38,0.6278
39,0.6276
40,0.6263
41,0.6361
42,0.6265
43,0.6263
44,0.6262
45,0.6266
46,0.6326
47,0.6280
48,0.6275
49,0.6314
50,0.6277
51,0.6357
52,0.4295
53,0.4285
54,0.4307
55,0.4295
56,0.4341
57,0.4309
58,0.4318
59,0.4314
60,0.4293
61,0.4400
62,0.4290
63,0.4284
64,0.4285
65,0.4281
66,0.4379
67,0.4307
68,0.4276
69,0.4300
70,0.4284
71,0.4398
72,0.4288
73,0.4278
74,0.4277
75,0.4277
76,0.4327
77,0.3325
78,0.2351
79,0.2491
80,0.2660
81,0.2384
82,0.2444
83,0.2646
84,0.2707
85,0.2723
86,0.2385
87,0.2465
88,0.2690
89,0.2697
90,0.2764
91,0.2377
92,0.2445
93,0.2650
94,0.2745
95,0.2761
96,0.2425
97,0.2452
98,0.2637
99,0.2634
100,0.2698
101,0.2394
102,0.4249
103,0.8559
104,0.8268
105,0.8244
106,0.8349
107,0.8260
108,0.8291
109,0.8247
110,0.8240
111,0.8288
112,0.8266
113,0.8263
114,0.8241
115,0.8259
116,0.8288
117,0.8255
118,0.8247
119,0.8244
120,0.8243
121,0.8281
122,0.8247
123,0.8246
124,0.8250
125,0.8244
126,0.8307
127,0.8263
128,0.7278
129,0.6262
130,0.6264
131,0.6389
132,0.6285
133,0.6271
134,0.6257
135,0.6256
136,0.6307
137,0.6271
138,0.6267
139,0.6264
140,0.6263
141,0.6309
142,0.6266
143,0.6260
144,0.6254
145,0.6262
146,0.6352
147,0.6290
148,0.6284
149,0.6286
150,0.6274
151,0.6386
152,0.6287
153,0.6283
154,0.4300
155,0.4305
156,0.4338
157,0.4305
158,0.4287
159,0.4300
160,0.4310
161,0.4338
162,0.4293
163,0.4292
164,0.4295
165,0.4291
166,0.4333
167,0.4303
168,0.4290
169,0.4290
170,0.4286
171,0.4342
172,0.4298
173,0.4280
174,0.4286
175,0.4282
176,0.4324
177,0.4292
178,0.4283
179,0.3310
180,0.2369
181,0.2379
182,0.2438
183,0.2651
184,0.2733
185,0.2719
186,0.2387
187,0.2446
188,0.2620
189,0.2710
190,0.2723
191,0.2418
192,0.2443
193,0.2627
194,0.2685
195,0.2717
196,0.2401
197,0.2462
198,0.2690
199,0.2742
200,0.2732
201,0.2393
202,0.2468
203,0.2723
204,0.6930
205,0.8628
206,0.8337
207,0.8250
208,0.8241
209,0.8253
210,0.8254
211,0.8357
212,0.8277
213,0.8250
214,0.8269
215,0.8302
216,0.8332
217,0.8268
218,0.8244
219,0.8270
220,0.8258
221,0.8341
222,0.8244
223,0.8251
224,0.8249
225,0.8240
226,0.8366
227,0.8267
228,0.8272
229,0.8263
230,0.7293
231,0.6308
232,0.6271
233,0.6257
234,0.6283
235,0.6272
236,0.6321
237,0.6265
238,0.6261
239,0.6262
240,0.6276
241,0.6326
242,0.6278
243,0.6288
244,0.6264
245,0.6258
246,0.6381
247,0.6274
248,0.6258
249,0.6275
250,0.6276
251,0.6386
252,0.6273
253,0.6267
254,0.6270
255,0.6259
256,0.4338
257,0.4294
258,0.4287
259,0.4284
260,0.4288
261,0.4338
262,0.4302
263,0.4291
264,0.4284
265,0.4296
266,0.4359
267,0.4301
268,0.4300
269,0.4291
270,0.4291
271,0.4341
272,0.4315
273,0.4290
274,0.4287
275,0.4282
276,0.4353
277,0.4320
278,0.4312
279,0.4321
280,0.4314
281,0.3358
282,0.2283
283,0.2329
284,0.2431
285,0.2632
286,0.2356
287,0.2370
288,0.2496
289,0.2594
290,0.2641
291,0.2432
292,0.2445
293,0.2616
294,0.2659
295,0.2661
296,0.2410
297,0.2456
298,0.2678
299,0.2704
300,0.2726
301,0.2481
302,0.2505
303,0.2726
304,0.2711
305,0.2697
306,0.5315
