Iteration,Iter Time (s)
1,1.4448
2,0.8183
3,0.8246
4,0.8122
5,0.8211
6,0.8303
7,0.8314
8,0.8314
9,0.8275
10,0.8272
11,0.8421
12,0.8379
13,0.8381
14,0.8363
15,0.8393
16,0.8447
17,0.8437
18,0.8448
19,0.8454
20,0.8457
21,0.7346
22,0.6259
23,0.6284
24,0.6310
25,0.6304
26,0.6331
27,0.6334
28,0.6306
29,0.6298
30,0.6300
31,0.6316
32,0.6287
33,0.6293
34,0.6276
35,0.6288
36,0.6282
37,0.6287
38,0.6288
39,0.6288
40,0.6289
41,0.6377
42,0.4315
43,0.4340
44,0.4330
45,0.4330
46,0.4282
47,0.4262
48,0.4268
49,0.4274
50,0.4286
51,0.4309
52,0.4266
53,0.4276
54,0.4270
55,0.4283
56,0.4301
57,0.4308
58,0.4286
59,0.4289
60,0.4291
61,0.4401
62,0.3327
63,0.2365
64,0.2508
65,0.2619
66,0.2409
67,0.2426
68,0.2588
69,0.2734
70,0.2763
71,0.2414
72,0.2451
73,0.2625
74,0.2726
75,0.2752
76,0.2400
77,0.2463
78,0.2659
79,0.2773
80,0.2841
81,0.2412
82,0.3623
83,0.8459
84,0.8326
85,0.8352
86,0.8328
87,0.8300
88,0.8295
89,0.8309
90,0.8311
91,0.8302
92,0.8301
93,0.8297
94,0.8310
95,0.8304
96,0.8351
97,0.8313
98,0.8300
99,0.8319
100,0.8310
101,0.8315
102,0.8301
103,0.7310
104,0.6290
105,0.6298
106,0.6347
107,0.6299
108,0.6290
109,0.6306
110,0.6321
111,0.6316
112,0.6318
113,0.6295
114,0.6319
115,0.6292
116,0.6326
117,0.6301
118,0.6315
119,0.6320
120,0.6306
121,0.6338
122,0.6310
123,0.6305
124,0.4300
125,0.4305
126,0.4376
127,0.4301
128,0.4334
129,0.4305
130,0.4307
131,0.4357
132,0.4300
133,0.4314
134,0.4303
135,0.4308
136,0.4369
137,0.4296
138,0.4335
139,0.4310
140,0.4307
141,0.4355
142,0.4308
143,0.4307
144,0.3349
145,0.2354
146,0.2419
147,0.2431
148,0.2626
149,0.2717
150,0.2798
151,0.2438
152,0.2448
153,0.2622
154,0.2771
155,0.2741
156,0.2374
157,0.2422
158,0.2620
159,0.2671
160,0.2677
161,0.2409
162,0.2419
163,0.2506
164,0.4486
165,0.8443
166,0.8329
167,0.8316
168,0.8339
169,0.8302
170,0.8305
171,0.8349
172,0.8348
173,0.8312
174,0.8323
175,0.8306
176,0.8311
177,0.8327
178,0.8309
179,0.8319
180,0.8311
181,0.8321
182,0.8319
183,0.8320
184,0.8313
185,0.7318
186,0.6342
187,0.6308
188,0.6333
189,0.6312
190,0.6312
191,0.6344
192,0.6312
193,0.6293
194,0.6315
195,0.6305
196,0.6312
197,0.6324
198,0.6304
199,0.6337
200,0.6305
201,0.6348
202,0.6317
203,0.6300
204,0.6311
205,0.6309
206,0.4370
207,0.4318
208,0.4318
209,0.4326
210,0.4317
211,0.4369
212,0.4293
213,0.4328
214,0.4331
215,0.4307
216,0.4372
217,0.4308
218,0.4307
219,0.4342
220,0.4328
221,0.4360
222,0.4289
223,0.4302
224,0.4314
225,0.4310
226,0.3405
227,0.2363
228,0.2445
229,0.2549
230,0.2673
231,0.2415
232,0.2435
233,0.2703
234,0.2762
235,0.2795
236,0.2385
237,0.2434
238,0.2639
239,0.2711
240,0.2691
241,0.2429
242,0.2429
243,0.2538
244,0.2693
245,0.2738
246,0.4220
