> initializing torch distributed ...
Loading trained LM features (title and abstract) ...
LM_emb_path: ./lm_workloads/prt_lm/ogbn-products/microsoft/deberta-base-seed0.emb
ogbn-products load successfully
Train nodes: 14708, Val nodes: 1572, Test nodes: 37745
Num of train batches: 1, num of train microbatches: 1, microbatch size: 54025
stage=0 layers=0 - 28
Training...
stage=3 layers=84 - 112
stage=1 layers=28 - 56
stage=2 layers=56 - 84
Epoch 00000 | Loss 4.0900 | Epoch Time 1.65s
Epoch 00000 | Valid acc: 24.36% | Test acc: 17.37%
Epoch 00001 | Loss 3.0778 | Epoch Time 2.66s
Epoch 00002 | Loss 2.7917 | Epoch Time 2.69s
Epoch 00003 | Loss 2.5701 | Epoch Time 2.66s
Epoch 00004 | Loss 2.3443 | Epoch Time 2.67s
Epoch 00005 | Loss 2.1278 | Avg Epoch Time 2.6690s
Epoch 00005 | Valid acc: 57.70% | Test acc: 44.39%
Epoch 00006 | Loss 1.9286 | Avg Epoch Time 2.6705s
Epoch 00007 | Loss 1.7535 | Avg Epoch Time 2.6733s
Epoch 00008 | Loss 1.5946 | Avg Epoch Time 2.6868s
Epoch 00009 | Loss 1.4593 | Avg Epoch Time 2.6873s
Epoch 00010 | Loss 1.3360 | Avg Epoch Time 2.6871s
Epoch 00010 | Valid acc: 77.35% | Test acc: 59.58%
Epoch 00011 | Loss 1.2256 | Avg Epoch Time 2.6934s
Epoch 00012 | Loss 1.1440 | Avg Epoch Time 2.6931s
Epoch 00013 | Loss 1.0605 | Avg Epoch Time 2.6930s
Epoch 00014 | Loss 0.9951 | Avg Epoch Time 2.6937s
Epoch 00015 | Loss 0.9396 | Avg Epoch Time 2.6980s
Epoch 00015 | Valid acc: 83.27% | Test acc: 64.14%
Epoch 00016 | Loss 0.8834 | Avg Epoch Time 2.6983s
Epoch 00017 | Loss 0.8361 | Avg Epoch Time 2.6986s
Epoch 00018 | Loss 0.7875 | Avg Epoch Time 2.6990s
Epoch 00019 | Loss 0.7543 | Avg Epoch Time 2.6995s
Epoch 00020 | Loss 0.7246 | Avg Epoch Time 2.7029s
Epoch 00020 | Valid acc: 85.05% | Test acc: 66.09%
Epoch 00021 | Loss 0.6935 | Avg Epoch Time 2.7040s
Epoch 00022 | Loss 0.6714 | Avg Epoch Time 2.7047s
Epoch 00023 | Loss 0.6513 | Avg Epoch Time 2.7053s
Epoch 00024 | Loss 0.6296 | Avg Epoch Time 2.7056s
Epoch 00025 | Loss 0.6153 | Avg Epoch Time 2.7063s
Epoch 00025 | Valid acc: 86.77% | Test acc: 69.50%
Epoch 00026 | Loss 0.5974 | Avg Epoch Time 2.7063s
Epoch 00027 | Loss 0.5820 | Avg Epoch Time 2.7065s
Epoch 00028 | Loss 0.5679 | Avg Epoch Time 2.7066s
Epoch 00029 | Loss 0.5557 | Avg Epoch Time 2.7065s
Epoch 00030 | Loss 0.5434 | Avg Epoch Time 2.7067s
Epoch 00030 | Valid acc: 87.66% | Test acc: 71.56%
Epoch 00031 | Loss 0.5327 | Avg Epoch Time 2.7066s
Epoch 00032 | Loss 0.5241 | Avg Epoch Time 2.7068s
Epoch 00033 | Loss 0.5100 | Avg Epoch Time 2.7070s
Epoch 00034 | Loss 0.5017 | Avg Epoch Time 2.7074s
Epoch 00035 | Loss 0.4944 | Avg Epoch Time 2.7087s
Epoch 00035 | Valid acc: 87.85% | Test acc: 72.01%
Epoch 00036 | Loss 0.4844 | Avg Epoch Time 2.7088s
Epoch 00037 | Loss 0.4753 | Avg Epoch Time 2.7089s
Epoch 00038 | Loss 0.4669 | Avg Epoch Time 2.7090s
Epoch 00039 | Loss 0.4613 | Avg Epoch Time 2.7091s
Epoch 00040 | Loss 0.4559 | Avg Epoch Time 2.7092s
Epoch 00040 | Valid acc: 88.17% | Test acc: 72.81%
Epoch 00041 | Loss 0.4456 | Avg Epoch Time 2.7093s
Epoch 00042 | Loss 0.4408 | Avg Epoch Time 2.7094s
Epoch 00043 | Loss 0.4381 | Avg Epoch Time 2.7095s
Epoch 00044 | Loss 0.4509 | Avg Epoch Time 2.7107s
Epoch 00045 | Loss 0.4683 | Avg Epoch Time 2.7107s
Epoch 00045 | Valid acc: 88.61% | Test acc: 73.67%
Epoch 00046 | Loss 0.4302 | Avg Epoch Time 2.7123s
Epoch 00047 | Loss 0.4397 | Avg Epoch Time 2.7123s
Epoch 00048 | Loss 0.4199 | Avg Epoch Time 2.7123s
Epoch 00049 | Loss 0.4290 | Avg Epoch Time 2.7139s
Epoch 00050 | Loss 0.4193 | Avg Epoch Time 2.7140s
Epoch 00050 | Valid acc: 89.06% | Test acc: 74.10%
Epoch 00051 | Loss 0.4136 | Avg Epoch Time 2.7140s
Epoch 00052 | Loss 0.4186 | Avg Epoch Time 2.7141s
Epoch 00053 | Loss 0.4006 | Avg Epoch Time 2.7141s
Epoch 00054 | Loss 0.4068 | Avg Epoch Time 2.7142s
Epoch 00055 | Loss 0.3975 | Avg Epoch Time 2.7144s
Epoch 00055 | Valid acc: 88.61% | Test acc: 74.56%
Epoch 00056 | Loss 0.3901 | Avg Epoch Time 2.7146s
Epoch 00057 | Loss 0.3932 | Avg Epoch Time 2.7147s
Epoch 00058 | Loss 0.3850 | Avg Epoch Time 2.7150s
Epoch 00059 | Loss 0.3913 | Avg Epoch Time 2.7152s
Epoch 00060 | Loss 0.3847 | Avg Epoch Time 2.7157s
Epoch 00060 | Valid acc: 88.36% | Test acc: 75.21%
Epoch 00061 | Loss 0.3762 | Avg Epoch Time 2.7157s
Epoch 00062 | Loss 0.3737 | Avg Epoch Time 2.7157s
Epoch 00063 | Loss 0.3759 | Avg Epoch Time 2.7156s
Epoch 00064 | Loss 0.3677 | Avg Epoch Time 2.7156s
Epoch 00065 | Loss 0.3677 | Avg Epoch Time 2.7156s
Epoch 00065 | Valid acc: 88.68% | Test acc: 75.93%
Epoch 00066 | Loss 0.3644 | Avg Epoch Time 2.7155s
Epoch 00067 | Loss 0.3605 | Avg Epoch Time 2.7155s
Epoch 00068 | Loss 0.3587 | Avg Epoch Time 2.7155s
Epoch 00069 | Loss 0.3519 | Avg Epoch Time 2.7155s
Epoch 00070 | Loss 0.3556 | Avg Epoch Time 2.7156s
