> initializing torch distributed ...
stage=1 layers = 28-56
stage=3 layers = 84-112
stage=2 layers = 56-84
cora load successfully
Train nodes: 1624, Val nodes: 542, Test nodes: 542
Num of train batches: 1, num of train microbatches: 1, microbatch size: 2708

Number of parameters: 1992327
stage=0 layers = 0-28
Training...
Epoch 00000 | Loss 1.9476 | Epoch Time 1.68s
Epoch 00000 | Valid acc: 31.00% | Test acc: 28.23%
Epoch 00001 | Loss 1.9246 | Epoch Time 0.03s
Epoch 00002 | Loss 1.8505 | Epoch Time 0.04s
Epoch 00003 | Loss 1.8522 | Epoch Time 0.05s
Epoch 00004 | Loss 1.8485 | Epoch Time 0.05s
Epoch 00005 | Loss 1.8400 | Avg Epoch Time 0.0524s
Epoch 00005 | Valid acc: 31.00% | Test acc: 28.23%
Epoch 00006 | Loss 1.8330 | Avg Epoch Time 0.0546s
Epoch 00007 | Loss 1.8398 | Avg Epoch Time 0.0544s
Epoch 00008 | Loss 1.8388 | Avg Epoch Time 0.0549s
Epoch 00009 | Loss 1.8367 | Avg Epoch Time 0.0552s
Epoch 00010 | Loss 1.8331 | Avg Epoch Time 0.0555s
Epoch 00010 | Valid acc: 31.00% | Test acc: 28.23%
Epoch 00011 | Loss 1.8323 | Avg Epoch Time 0.0557s
Epoch 00012 | Loss 1.8337 | Avg Epoch Time 0.0563s
Epoch 00013 | Loss 1.8253 | Avg Epoch Time 0.0568s
Epoch 00014 | Loss 1.8197 | Avg Epoch Time 0.0578s
Epoch 00015 | Loss 1.8148 | Avg Epoch Time 0.0583s
Epoch 00015 | Valid acc: 31.00% | Test acc: 28.23%
Epoch 00016 | Loss 1.8027 | Avg Epoch Time 0.0586s
Epoch 00017 | Loss 1.7790 | Avg Epoch Time 0.0590s
Epoch 00018 | Loss 1.7514 | Avg Epoch Time 0.0594s
Epoch 00019 | Loss 1.7137 | Avg Epoch Time 0.0597s
Epoch 00020 | Loss 1.6484 | Avg Epoch Time 0.0600s
Epoch 00020 | Valid acc: 44.10% | Test acc: 43.91%
Epoch 00021 | Loss 1.5624 | Avg Epoch Time 0.0602s
Epoch 00022 | Loss 1.4584 | Avg Epoch Time 0.0607s
Epoch 00023 | Loss 1.3637 | Avg Epoch Time 0.0609s
Epoch 00024 | Loss 1.4592 | Avg Epoch Time 0.0610s
Epoch 00025 | Loss 1.3823 | Avg Epoch Time 0.0610s
Epoch 00025 | Valid acc: 42.80% | Test acc: 42.25%
Epoch 00026 | Loss 1.3386 | Avg Epoch Time 0.0610s
Epoch 00027 | Loss 1.2580 | Avg Epoch Time 0.0610s
Epoch 00028 | Loss 1.3211 | Avg Epoch Time 0.0610s
Epoch 00029 | Loss 1.3317 | Avg Epoch Time 0.0612s
Epoch 00030 | Loss 1.2482 | Avg Epoch Time 0.0615s
Epoch 00030 | Valid acc: 44.10% | Test acc: 44.10%
Epoch 00031 | Loss 1.2311 | Avg Epoch Time 0.0615s
Epoch 00032 | Loss 1.2498 | Avg Epoch Time 0.0616s
Epoch 00033 | Loss 1.2198 | Avg Epoch Time 0.0617s
Epoch 00034 | Loss 1.1711 | Avg Epoch Time 0.0618s
Epoch 00035 | Loss 1.1416 | Avg Epoch Time 0.0618s
Epoch 00035 | Valid acc: 52.40% | Test acc: 55.17%
Epoch 00036 | Loss 1.1142 | Avg Epoch Time 0.0619s
Epoch 00037 | Loss 1.0651 | Avg Epoch Time 0.0619s
Epoch 00038 | Loss 0.9730 | Avg Epoch Time 0.0622s
Epoch 00039 | Loss 0.9010 | Avg Epoch Time 0.0622s
Epoch 00040 | Loss 0.8057 | Avg Epoch Time 0.0622s
Epoch 00040 | Valid acc: 65.31% | Test acc: 66.05%
Epoch 00041 | Loss 0.7405 | Avg Epoch Time 0.0623s
Epoch 00042 | Loss 0.7173 | Avg Epoch Time 0.0623s
Epoch 00043 | Loss 0.6938 | Avg Epoch Time 0.0623s
Epoch 00044 | Loss 0.6967 | Avg Epoch Time 0.0623s
Epoch 00045 | Loss 0.6744 | Avg Epoch Time 0.0623s
Epoch 00045 | Valid acc: 71.40% | Test acc: 68.27%
Epoch 00046 | Loss 0.6618 | Avg Epoch Time 0.0624s
Epoch 00047 | Loss 0.6524 | Avg Epoch Time 0.0625s
Epoch 00048 | Loss 0.6388 | Avg Epoch Time 0.0624s
Epoch 00049 | Loss 0.6346 | Avg Epoch Time 0.0623s
Epoch 00050 | Loss 0.6260 | Avg Epoch Time 0.0624s
Epoch 00050 | Valid acc: 72.88% | Test acc: 70.48%
Epoch 00051 | Loss 0.6215 | Avg Epoch Time 0.0624s
Epoch 00052 | Loss 0.6131 | Avg Epoch Time 0.0624s
Epoch 00053 | Loss 0.6074 | Avg Epoch Time 0.0624s
Epoch 00054 | Loss 0.5952 | Avg Epoch Time 0.0626s
Epoch 00055 | Loss 0.5861 | Avg Epoch Time 0.0626s
Epoch 00055 | Valid acc: 72.88% | Test acc: 69.56%
Epoch 00056 | Loss 0.5793 | Avg Epoch Time 0.0626s
Epoch 00057 | Loss 0.5653 | Avg Epoch Time 0.0626s
Epoch 00058 | Loss 0.5591 | Avg Epoch Time 0.0626s
Epoch 00059 | Loss 0.5466 | Avg Epoch Time 0.0627s
Epoch 00060 | Loss 0.5239 | Avg Epoch Time 0.0627s
Epoch 00060 | Valid acc: 74.17% | Test acc: 72.32%
Epoch 00061 | Loss 0.5077 | Avg Epoch Time 0.0627s
