> initializing torch distributed ...
stage=3 layers = 84-112
Loading trained LM features (title and abstract) ...
LM_emb_path: ./lm_workloads/prt_lm/pubmed/microsoft/deberta-base-seed0.emb
pubmed load successfully
Train nodes: 11830, Val nodes: 3943, Test nodes: 3944
Num of train batches: 1, num of train microbatches: 1, microbatch size: 19717

Number of parameters: 1949507
stage=0 layers = 0-28
stage=1 layers = 28-56
stage=2 layers = 56-84
Training...
Epoch 00000 | Loss 1.1638 | Epoch Time 2.04s
Epoch 00000 | Valid acc: 37.41% | Test acc: 39.96%
Epoch 00001 | Loss 1.6999 | Epoch Time 0.16s
Epoch 00002 | Loss 1.3027 | Epoch Time 0.18s
Epoch 00003 | Loss 1.1138 | Epoch Time 0.17s
Epoch 00004 | Loss 1.0804 | Epoch Time 0.17s
Epoch 00005 | Loss 1.1038 | Avg Epoch Time 0.1759s
Epoch 00005 | Valid acc: 40.71% | Test acc: 39.40%
Epoch 00006 | Loss 1.1028 | Avg Epoch Time 0.1810s
Epoch 00007 | Loss 1.0850 | Avg Epoch Time 0.1805s
Epoch 00008 | Loss 1.0679 | Avg Epoch Time 0.1811s
Epoch 00009 | Loss 1.0590 | Avg Epoch Time 0.1815s
Epoch 00010 | Loss 1.0596 | Avg Epoch Time 0.1817s
Epoch 00010 | Valid acc: 37.41% | Test acc: 39.96%
Epoch 00011 | Loss 1.0570 | Avg Epoch Time 0.1816s
Epoch 00012 | Loss 1.0454 | Avg Epoch Time 0.1816s
Epoch 00013 | Loss 1.0338 | Avg Epoch Time 0.1817s
Epoch 00014 | Loss 1.0212 | Avg Epoch Time 0.1821s
Epoch 00015 | Loss 1.0053 | Avg Epoch Time 0.1821s
Epoch 00015 | Valid acc: 51.56% | Test acc: 52.92%
Epoch 00016 | Loss 0.9856 | Avg Epoch Time 0.1821s
Epoch 00017 | Loss 0.9652 | Avg Epoch Time 0.1821s
Epoch 00018 | Loss 0.9468 | Avg Epoch Time 0.1821s
Epoch 00019 | Loss 0.9079 | Avg Epoch Time 0.1822s
Epoch 00020 | Loss 0.8813 | Avg Epoch Time 0.1822s
Epoch 00020 | Valid acc: 61.07% | Test acc: 58.90%
Epoch 00021 | Loss 0.8661 | Avg Epoch Time 0.1822s
Epoch 00022 | Loss 0.8137 | Avg Epoch Time 0.1824s
Epoch 00023 | Loss 0.7891 | Avg Epoch Time 0.1824s
Epoch 00024 | Loss 0.8142 | Avg Epoch Time 0.1824s
Epoch 00025 | Loss 0.7649 | Avg Epoch Time 0.1824s
Epoch 00025 | Valid acc: 68.60% | Test acc: 70.23%
Epoch 00026 | Loss 0.7369 | Avg Epoch Time 0.1824s
Epoch 00027 | Loss 0.7180 | Avg Epoch Time 0.1824s
Epoch 00028 | Loss 0.7418 | Avg Epoch Time 0.1824s
Epoch 00029 | Loss 0.6996 | Avg Epoch Time 0.1824s
Epoch 00030 | Loss 0.7037 | Avg Epoch Time 0.1827s
Epoch 00030 | Valid acc: 68.17% | Test acc: 69.95%
Epoch 00031 | Loss 0.6962 | Avg Epoch Time 0.1827s
Epoch 00032 | Loss 0.6616 | Avg Epoch Time 0.1827s
Epoch 00033 | Loss 0.6705 | Avg Epoch Time 0.1827s
Epoch 00034 | Loss 0.6418 | Avg Epoch Time 0.1827s
Epoch 00035 | Loss 0.6433 | Avg Epoch Time 0.1827s
Epoch 00035 | Valid acc: 82.58% | Test acc: 82.99%
Epoch 00036 | Loss 0.6104 | Avg Epoch Time 0.1827s
Epoch 00037 | Loss 0.6087 | Avg Epoch Time 0.1826s
Epoch 00038 | Loss 0.5890 | Avg Epoch Time 0.1827s
Epoch 00039 | Loss 0.5805 | Avg Epoch Time 0.1827s
Epoch 00040 | Loss 0.5582 | Avg Epoch Time 0.1827s
Epoch 00040 | Valid acc: 86.56% | Test acc: 87.04%
Epoch 00041 | Loss 0.5476 | Avg Epoch Time 0.1827s
Epoch 00042 | Loss 0.5255 | Avg Epoch Time 0.1827s
Epoch 00043 | Loss 0.5115 | Avg Epoch Time 0.1827s
Epoch 00044 | Loss 0.4895 | Avg Epoch Time 0.1827s
Epoch 00045 | Loss 0.4800 | Avg Epoch Time 0.1827s
Epoch 00045 | Valid acc: 86.99% | Test acc: 87.58%
Epoch 00046 | Loss 0.4582 | Avg Epoch Time 0.1827s
Epoch 00047 | Loss 0.4363 | Avg Epoch Time 0.1827s
Epoch 00048 | Loss 0.4114 | Avg Epoch Time 0.1827s
Epoch 00049 | Loss 0.3913 | Avg Epoch Time 0.1828s
Epoch 00050 | Loss 0.3619 | Avg Epoch Time 0.1827s
Epoch 00050 | Valid acc: 91.96% | Test acc: 92.09%
Epoch 00051 | Loss 0.3437 | Avg Epoch Time 0.1827s
Epoch 00052 | Loss 0.3148 | Avg Epoch Time 0.1827s
Epoch 00053 | Loss 0.3023 | Avg Epoch Time 0.1827s
Epoch 00054 | Loss 0.2976 | Avg Epoch Time 0.1828s
Epoch 00055 | Loss 0.2748 | Avg Epoch Time 0.1828s
Epoch 00055 | Valid acc: 93.38% | Test acc: 93.81%
Epoch 00056 | Loss 0.2720 | Avg Epoch Time 0.1828s
Epoch 00057 | Loss 0.2587 | Avg Epoch Time 0.1828s
Epoch 00058 | Loss 0.2468 | Avg Epoch Time 0.1828s
Epoch 00059 | Loss 0.2399 | Avg Epoch Time 0.1828s
Epoch 00060 | Loss 0.2225 | Avg Epoch Time 0.1828s
Epoch 00060 | Valid acc: 94.60% | Test acc: 94.27%
Epoch 00061 | Loss 0.2166 | Avg Epoch Time 0.1828s
Epoch 00062 | Loss 0.2057 | Avg Epoch Time 0.1828s
Epoch 00063 | Loss 0.2092 | Avg Epoch Time 0.1828s
Epoch 00064 | Loss 0.2015 | Avg Epoch Time 0.1828s
Epoch 00065 | Loss 0.2009 | Avg Epoch Time 0.1828s
Epoch 00065 | Valid acc: 94.65% | Test acc: 94.57%
Epoch 00066 | Loss 0.2016 | Avg Epoch Time 0.1828s
Epoch 00067 | Loss 0.1845 | Avg Epoch Time 0.1828s
Epoch 00068 | Loss 0.1883 | Avg Epoch Time 0.1828s
Epoch 00069 | Loss 0.1849 | Avg Epoch Time 0.1828s
Epoch 00070 | Loss 0.1835 | Avg Epoch Time 0.1828s
Epoch 00070 | Valid acc: 94.67% | Test acc: 94.55%
Epoch 00071 | Loss 0.1758 | Avg Epoch Time 0.1829s
Epoch 00072 | Loss 0.1782 | Avg Epoch Time 0.1829s
Epoch 00073 | Loss 0.1745 | Avg Epoch Time 0.1829s
Epoch 00074 | Loss 0.1705 | Avg Epoch Time 0.1828s
Epoch 00075 | Loss 0.1679 | Avg Epoch Time 0.1828s
Epoch 00075 | Valid acc: 94.22% | Test acc: 94.73%
Epoch 00076 | Loss 0.1735 | Avg Epoch Time 0.1828s
Epoch 00077 | Loss 0.1664 | Avg Epoch Time 0.1828s
Epoch 00078 | Loss 0.1690 | Avg Epoch Time 0.1829s
Epoch 00079 | Loss 0.1665 | Avg Epoch Time 0.1829s
Epoch 00080 | Loss 0.1637 | Avg Epoch Time 0.1829s
Epoch 00080 | Valid acc: 94.57% | Test acc: 94.60%
Epoch 00081 | Loss 0.1609 | Avg Epoch Time 0.1829s
Epoch 00082 | Loss 0.1608 | Avg Epoch Time 0.1829s
Epoch 00083 | Loss 0.1601 | Avg Epoch Time 0.1829s
Epoch 00084 | Loss 0.1602 | Avg Epoch Time 0.1829s
Epoch 00085 | Loss 0.1563 | Avg Epoch Time 0.1829s
Epoch 00085 | Valid acc: 94.67% | Test acc: 94.52%
Epoch 00086 | Loss 0.1588 | Avg Epoch Time 0.1829s
Epoch 00087 | Loss 0.1566 | Avg Epoch Time 0.1829s
Epoch 00088 | Loss 0.1527 | Avg Epoch Time 0.1829s
Epoch 00089 | Loss 0.1563 | Avg Epoch Time 0.1829s
Epoch 00090 | Loss 0.1513 | Avg Epoch Time 0.1829s
Epoch 00090 | Valid acc: 94.72% | Test acc: 94.47%
Epoch 00091 | Loss 0.1501 | Avg Epoch Time 0.1829s
Epoch 00092 | Loss 0.1495 | Avg Epoch Time 0.1829s
Epoch 00093 | Loss 0.1499 | Avg Epoch Time 0.1829s
Epoch 00094 | Loss 0.1486 | Avg Epoch Time 0.1830s
Epoch 00095 | Loss 0.1499 | Avg Epoch Time 0.1830s
Epoch 00095 | Valid acc: 94.80% | Test acc: 94.45%
Epoch 00096 | Loss 0.1493 | Avg Epoch Time 0.1830s
Epoch 00097 | Loss 0.1508 | Avg Epoch Time 0.1830s
Epoch 00098 | Loss 0.1498 | Avg Epoch Time 0.1830s
Epoch 00099 | Loss 0.1491 | Avg Epoch Time 0.1830s
Epoch 00100 | Loss 0.1468 | Avg Epoch Time 0.1830s
Epoch 00100 | Valid acc: 94.85% | Test acc: 94.45%
Epoch 00101 | Loss 0.1470 | Avg Epoch Time 0.1830s
Epoch 00102 | Loss 0.1466 | Avg Epoch Time 0.1830s
Epoch 00103 | Loss 0.1438 | Avg Epoch Time 0.1830s
Epoch 00104 | Loss 0.1510 | Avg Epoch Time 0.1830s
Epoch 00105 | Loss 0.1458 | Avg Epoch Time 0.1830s
Epoch 00105 | Valid acc: 94.85% | Test acc: 94.35%
Epoch 00106 | Loss 0.1466 | Avg Epoch Time 0.1830s
Epoch 00107 | Loss 0.1484 | Avg Epoch Time 0.1831s
