> initializing torch distributed ...
cora load successfully
Train nodes: 1624, Val nodes: 542, Test nodes: 542
Num of train batches: 1, num of train microbatches: 1, microbatch size: 2708
stage=2 layers=224 - 336
stage=0 layers=0 - 112
stage=3 layers=336 - 448
stage=1 layers=112 - 224
Training...
Epoch 00000 | Loss 2.0540 | Epoch Time 1.05s
Epoch 00000 | Valid acc: 31.00% | Test acc: 28.23%
Epoch 00001 | Loss 1.8733 | Epoch Time 1.41s
Epoch 00002 | Loss 1.8610 | Epoch Time 1.28s
Epoch 00003 | Loss 1.8369 | Epoch Time 1.27s
Epoch 00004 | Loss 1.8342 | Epoch Time 1.28s
Epoch 00005 | Loss 1.8212 | Avg Epoch Time 1.2790s
Epoch 00005 | Valid acc: 31.00% | Test acc: 28.23%
Epoch 00006 | Loss 1.8036 | Avg Epoch Time 1.2770s
Epoch 00007 | Loss 1.7806 | Avg Epoch Time 1.2777s
Epoch 00008 | Loss 1.7379 | Avg Epoch Time 1.2756s
Epoch 00009 | Loss 1.6948 | Avg Epoch Time 1.2746s
Epoch 00010 | Loss 1.6483 | Avg Epoch Time 1.2996s
Epoch 00010 | Valid acc: 41.88% | Test acc: 41.14%
Epoch 00011 | Loss 1.5878 | Avg Epoch Time 1.2965s
Epoch 00012 | Loss 1.5327 | Avg Epoch Time 1.2928s
Epoch 00013 | Loss 1.4848 | Avg Epoch Time 1.2908s
Epoch 00014 | Loss 1.4445 | Avg Epoch Time 1.2890s
Epoch 00015 | Loss 1.4162 | Avg Epoch Time 1.2869s
Epoch 00015 | Valid acc: 43.17% | Test acc: 42.07%
Epoch 00016 | Loss 1.3804 | Avg Epoch Time 1.2857s
Epoch 00017 | Loss 1.3438 | Avg Epoch Time 1.2845s
Epoch 00018 | Loss 1.3112 | Avg Epoch Time 1.2836s
Epoch 00019 | Loss 1.2769 | Avg Epoch Time 1.2828s
Epoch 00020 | Loss 1.2376 | Avg Epoch Time 1.2828s
Epoch 00020 | Valid acc: 54.61% | Test acc: 50.92%
Epoch 00021 | Loss 1.1849 | Avg Epoch Time 1.2821s
Epoch 00022 | Loss 1.1557 | Avg Epoch Time 1.2816s
Epoch 00023 | Loss 1.1123 | Avg Epoch Time 1.2811s
Epoch 00024 | Loss 1.1074 | Avg Epoch Time 1.2808s
Epoch 00025 | Loss 1.0642 | Avg Epoch Time 1.2805s
Epoch 00025 | Valid acc: 67.34% | Test acc: 64.02%
Epoch 00026 | Loss 1.0184 | Avg Epoch Time 1.2801s
Epoch 00027 | Loss 0.9998 | Avg Epoch Time 1.2799s
Epoch 00028 | Loss 1.0079 | Avg Epoch Time 1.2796s
Epoch 00029 | Loss 0.9505 | Avg Epoch Time 1.2793s
Epoch 00030 | Loss 1.0420 | Avg Epoch Time 1.2790s
Epoch 00030 | Valid acc: 68.08% | Test acc: 63.65%
Epoch 00031 | Loss 0.9534 | Avg Epoch Time 1.2787s
Epoch 00032 | Loss 0.9208 | Avg Epoch Time 1.2786s
Epoch 00033 | Loss 0.9196 | Avg Epoch Time 1.2783s
Epoch 00034 | Loss 0.8836 | Avg Epoch Time 1.2781s
Epoch 00035 | Loss 0.8963 | Avg Epoch Time 1.2780s
Epoch 00035 | Valid acc: 67.53% | Test acc: 66.79%
Epoch 00036 | Loss 0.8746 | Avg Epoch Time 1.2779s
Epoch 00037 | Loss 0.8557 | Avg Epoch Time 1.2778s
Epoch 00038 | Loss 0.8320 | Avg Epoch Time 1.2776s
Epoch 00039 | Loss 0.8418 | Avg Epoch Time 1.2775s
Epoch 00040 | Loss 0.8484 | Avg Epoch Time 1.2773s
Epoch 00040 | Valid acc: 70.85% | Test acc: 70.11%
Epoch 00041 | Loss 0.8006 | Avg Epoch Time 1.2775s
Epoch 00042 | Loss 0.7930 | Avg Epoch Time 1.2772s
Epoch 00043 | Loss 0.7953 | Avg Epoch Time 1.2771s
Epoch 00044 | Loss 0.7432 | Avg Epoch Time 1.2770s
Epoch 00045 | Loss 0.7328 | Avg Epoch Time 1.2770s
Epoch 00045 | Valid acc: 71.77% | Test acc: 72.88%
Epoch 00046 | Loss 0.7407 | Avg Epoch Time 1.2769s
Epoch 00047 | Loss 0.7217 | Avg Epoch Time 1.2768s
Epoch 00048 | Loss 0.6885 | Avg Epoch Time 1.2766s
Epoch 00049 | Loss 0.6899 | Avg Epoch Time 1.2797s
Epoch 00050 | Loss 0.6506 | Avg Epoch Time 1.2797s
Epoch 00050 | Valid acc: 76.20% | Test acc: 74.54%
Epoch 00051 | Loss 0.6453 | Avg Epoch Time 1.2794s
Epoch 00052 | Loss 0.6410 | Avg Epoch Time 1.2793s
Epoch 00053 | Loss 0.6076 | Avg Epoch Time 1.2791s
Epoch 00054 | Loss 0.6060 | Avg Epoch Time 1.2789s
Epoch 00055 | Loss 0.5669 | Avg Epoch Time 1.2788s
Epoch 00055 | Valid acc: 76.57% | Test acc: 74.35%
Epoch 00056 | Loss 0.5762 | Avg Epoch Time 1.2786s
Epoch 00057 | Loss 0.5509 | Avg Epoch Time 1.2785s
Epoch 00058 | Loss 0.5454 | Avg Epoch Time 1.2783s
Epoch 00059 | Loss 0.5201 | Avg Epoch Time 1.2781s
Epoch 00060 | Loss 0.5213 | Avg Epoch Time 1.2779s
Epoch 00060 | Valid acc: 79.34% | Test acc: 79.70%
Epoch 00061 | Loss 0.4976 | Avg Epoch Time 1.2779s
Epoch 00062 | Loss 0.4917 | Avg Epoch Time 1.2777s
Epoch 00063 | Loss 0.4840 | Avg Epoch Time 1.2776s
Epoch 00064 | Loss 0.4637 | Avg Epoch Time 1.2775s
Epoch 00065 | Loss 0.4539 | Avg Epoch Time 1.2774s
Epoch 00065 | Valid acc: 78.23% | Test acc: 77.68%
Epoch 00066 | Loss 0.4668 | Avg Epoch Time 1.2773s
Epoch 00067 | Loss 0.4292 | Avg Epoch Time 1.2772s
Epoch 00068 | Loss 0.4313 | Avg Epoch Time 1.2772s
Epoch 00069 | Loss 0.4079 | Avg Epoch Time 1.2770s
Epoch 00070 | Loss 0.4160 | Avg Epoch Time 1.2770s
Epoch 00070 | Valid acc: 84.13% | Test acc: 85.42%
Epoch 00071 | Loss 0.3882 | Avg Epoch Time 1.2769s
Epoch 00072 | Loss 0.3902 | Avg Epoch Time 1.2768s
Epoch 00073 | Loss 0.3763 | Avg Epoch Time 1.2767s
Epoch 00074 | Loss 0.3851 | Avg Epoch Time 1.2767s
Epoch 00075 | Loss 0.3772 | Avg Epoch Time 1.2766s
Epoch 00075 | Valid acc: 83.95% | Test acc: 83.95%
Epoch 00076 | Loss 0.3547 | Avg Epoch Time 1.2765s
Epoch 00077 | Loss 0.3756 | Avg Epoch Time 1.2765s
Epoch 00078 | Loss 0.3432 | Avg Epoch Time 1.2764s
Epoch 00079 | Loss 0.3303 | Avg Epoch Time 1.2763s
Epoch 00080 | Loss 0.3395 | Avg Epoch Time 1.2763s
Epoch 00080 | Valid acc: 84.69% | Test acc: 85.42%
Epoch 00081 | Loss 0.3184 | Avg Epoch Time 1.2761s
Epoch 00082 | Loss 0.3059 | Avg Epoch Time 1.2760s
Epoch 00083 | Loss 0.3065 | Avg Epoch Time 1.2760s
Epoch 00084 | Loss 0.3018 | Avg Epoch Time 1.2759s
Epoch 00085 | Loss 0.2992 | Avg Epoch Time 1.2759s
Epoch 00085 | Valid acc: 84.13% | Test acc: 85.98%
Epoch 00086 | Loss 0.2890 | Avg Epoch Time 1.2758s
Epoch 00087 | Loss 0.2840 | Avg Epoch Time 1.2758s
Epoch 00088 | Loss 0.2721 | Avg Epoch Time 1.2774s
Epoch 00089 | Loss 0.2845 | Avg Epoch Time 1.2773s
Epoch 00090 | Loss 0.2802 | Avg Epoch Time 1.2772s
Epoch 00090 | Valid acc: 84.13% | Test acc: 86.16%
Epoch 00091 | Loss 0.2903 | Avg Epoch Time 1.2772s
Epoch 00092 | Loss 0.2590 | Avg Epoch Time 1.2771s
Epoch 00093 | Loss 0.2725 | Avg Epoch Time 1.2770s
Epoch 00094 | Loss 0.2692 | Avg Epoch Time 1.2770s
Epoch 00095 | Loss 0.2731 | Avg Epoch Time 1.2769s
Epoch 00095 | Valid acc: 83.76% | Test acc: 86.53%
Epoch 00096 | Loss 0.2592 | Avg Epoch Time 1.2768s
Epoch 00097 | Loss 0.2644 | Avg Epoch Time 1.2768s
Epoch 00098 | Loss 0.2754 | Avg Epoch Time 1.2768s
Epoch 00099 | Loss 0.2409 | Avg Epoch Time 1.2767s
Epoch 00100 | Loss 0.2487 | Avg Epoch Time 1.2767s
Epoch 00100 | Valid acc: 83.95% | Test acc: 85.06%
