(tigraph) ➜  TiGraph git:(main) ✗ torchrun --nnodes 1 --nproc_per_node 4 revgnn_pp_trainona
ll.py --dataset pubmed --num_layers 448 --hidden_channels 80 --epochs 1000 --dropout 0.1 --
lr 0.001 --bs 19717 --mb_size 19717
W0325 19:07:32.528000 139936085444416 torch/distributed/run.py:779]
W0325 19:07:32.528000 139936085444416 torch/distributed/run.py:779] ***********************
******************
W0325 19:07:32.528000 139936085444416 torch/distributed/run.py:779] Setting OMP_NUM_THREADS
 environment variable for each process to be 1 in default, to avoid your system being overl
oaded, please further tune the variable for optimal performance in your application as need
ed.
W0325 19:07:32.528000 139936085444416 torch/distributed/run.py:779] ***********************
******************
> initializing torch distributed ...
/home/mzhang/miniconda3/envs/tigraph/lib/python3.11/site-packages/dgl/heterograph.py:92: DG
LWarning: Recommend creating graphs by `dgl.graph(data)` instead of `dgl.DGLGraph(data)`.
  dgl_warning(
/home/mzhang/miniconda3/envs/tigraph/lib/python3.11/site-packages/dgl/heterograph.py:92: DG
LWarning: Recommend creating graphs by `dgl.graph(data)` instead of `dgl.DGLGraph(data)`.
  dgl_warning(
Loading trained LM features (title and abstract) ...
LM_emb_path: ./lm_workloads/prt_lm/pubmed/microsoft/deberta-base-seed0.emb
pubmed load successfully
Train nodes: 11830, Val nodes: 3943, Test nodes: 3944
Num of train batches: 1, num of train microbatches: 1, microbatch size: 19717
/home/mzhang/miniconda3/envs/tigraph/lib/python3.11/site-packages/dgl/heterograph.py:92: DG
LWarning: Recommend creating graphs by `dgl.graph(data)` instead of `dgl.DGLGraph(data)`.
  dgl_warning(
/home/mzhang/miniconda3/envs/tigraph/lib/python3.11/site-packages/dgl/heterograph.py:92: DG
LWarning: Recommend creating graphs by `dgl.graph(data)` instead of `dgl.DGLGraph(data)`.
  dgl_warning(
stage=3 layers=336 - 448
stage=0 layers=0 - 112
stage=1 layers=112 - 224
stage=2 layers=224 - 336
Training...
Epoch 00000 | Loss 1.1473 | Epoch Time 2.24s
Epoch 00000 | Valid acc: 40.71% | Test acc: 39.40%
Epoch 00001 | Loss 1.2103 | Epoch Time 1.94s
Epoch 00002 | Loss 1.1010 | Epoch Time 1.95s
Epoch 00003 | Loss 1.0389 | Epoch Time 1.96s
Epoch 00004 | Loss 1.0197 | Epoch Time 1.95s
Epoch 00005 | Loss 0.9893 | Avg Epoch Time 1.9795s
Epoch 00005 | Valid acc: 71.70% | Test acc: 72.90%
Epoch 00006 | Loss 0.9412 | Avg Epoch Time 1.9696s
Epoch 00007 | Loss 0.8738 | Avg Epoch Time 1.9741s
Epoch 00008 | Loss 0.7987 | Avg Epoch Time 1.9724s
Epoch 00009 | Loss 0.7235 | Avg Epoch Time 1.9718s
Epoch 00010 | Loss 0.6727 | Avg Epoch Time 1.9751s
Epoch 00010 | Valid acc: 73.45% | Test acc: 74.11%
Epoch 00011 | Loss 0.6379 | Avg Epoch Time 1.9747s
Epoch 00012 | Loss 0.6036 | Avg Epoch Time 1.9743s
Epoch 00013 | Loss 0.5719 | Avg Epoch Time 1.9750s
Epoch 00014 | Loss 0.5328 | Avg Epoch Time 1.9755s
Epoch 00015 | Loss 0.4963 | Avg Epoch Time 1.9760s
Epoch 00015 | Valid acc: 85.98% | Test acc: 85.78%
Epoch 00016 | Loss 0.4641 | Avg Epoch Time 1.9764s
Epoch 00017 | Loss 0.4408 | Avg Epoch Time 1.9770s
Epoch 00018 | Loss 0.4220 | Avg Epoch Time 1.9789s
Epoch 00019 | Loss 0.4110 | Avg Epoch Time 1.9791s
Epoch 00020 | Loss 0.4015 | Avg Epoch Time 1.9795s
Epoch 00020 | Valid acc: 86.61% | Test acc: 86.89%
Epoch 00021 | Loss 0.3989 | Avg Epoch Time 1.9886s
Epoch 00022 | Loss 0.3847 | Avg Epoch Time 1.9887s
Epoch 00023 | Loss 0.3668 | Avg Epoch Time 1.9888s
Epoch 00024 | Loss 0.3563 | Avg Epoch Time 1.9889s
Epoch 00025 | Loss 0.3456 | Avg Epoch Time 1.9893s
Epoch 00025 | Valid acc: 87.34% | Test acc: 87.70%
Epoch 00026 | Loss 0.3335 | Avg Epoch Time 1.9895s
Epoch 00027 | Loss 0.3233 | Avg Epoch Time 1.9898s
Epoch 00028 | Loss 0.3117 | Avg Epoch Time 1.9900s
Epoch 00029 | Loss 0.2983 | Avg Epoch Time 1.9904s
Epoch 00030 | Loss 0.2863 | Avg Epoch Time 1.9908s
Epoch 00030 | Valid acc: 92.14% | Test acc: 92.14%
Epoch 00031 | Loss 0.2700 | Avg Epoch Time 1.9912s
Epoch 00032 | Loss 0.2567 | Avg Epoch Time 1.9916s
Epoch 00033 | Loss 0.3474 | Avg Epoch Time 1.9919s
Epoch 00034 | Loss 0.6756 | Avg Epoch Time 1.9922s
Epoch 00035 | Loss 0.3231 | Avg Epoch Time 1.9925s
Epoch 00035 | Valid acc: 87.27% | Test acc: 87.53%
Epoch 00036 | Loss 0.3337 | Avg Epoch Time 1.9927s
Epoch 00037 | Loss 0.3817 | Avg Epoch Time 1.9928s
Epoch 00038 | Loss 0.3454 | Avg Epoch Time 1.9930s
Epoch 00039 | Loss 0.3141 | Avg Epoch Time 1.9932s
Epoch 00040 | Loss 0.3176 | Avg Epoch Time 1.9933s
Epoch 00040 | Valid acc: 89.50% | Test acc: 89.15%
Epoch 00041 | Loss 0.3316 | Avg Epoch Time 1.9941s
Epoch 00042 | Loss 0.3309 | Avg Epoch Time 1.9943s
Epoch 00043 | Loss 0.3096 | Avg Epoch Time 1.9946s
Epoch 00044 | Loss 0.2911 | Avg Epoch Time 1.9951s
Epoch 00045 | Loss 0.2964 | Avg Epoch Time 1.9952s
Epoch 00045 | Valid acc: 89.55% | Test acc: 89.30%
Epoch 00046 | Loss 0.2948 | Avg Epoch Time 1.9954s
Epoch 00047 | Loss 0.2798 | Avg Epoch Time 1.9955s
Epoch 00048 | Loss 0.2712 | Avg Epoch Time 1.9957s
Epoch 00049 | Loss 0.2599 | Avg Epoch Time 1.9988s
Epoch 00050 | Loss 0.2571 | Avg Epoch Time 1.9991s
Epoch 00050 | Valid acc: 91.43% | Test acc: 91.66%
Epoch 00051 | Loss 0.2546 | Avg Epoch Time 1.9992s
Epoch 00052 | Loss 0.2429 | Avg Epoch Time 1.9993s
Epoch 00053 | Loss 0.2312 | Avg Epoch Time 1.9994s
Epoch 00054 | Loss 0.2289 | Avg Epoch Time 1.9996s
Epoch 00055 | Loss 0.2210 | Avg Epoch Time 1.9997s
Epoch 00055 | Valid acc: 94.04% | Test acc: 94.07%
Epoch 00056 | Loss 0.2134 | Avg Epoch Time 1.9997s
Epoch 00057 | Loss 0.1998 | Avg Epoch Time 1.9998s
Epoch 00058 | Loss 0.1994 | Avg Epoch Time 1.9999s
Epoch 00059 | Loss 0.1961 | Avg Epoch Time 2.0000s
Epoch 00060 | Loss 0.1895 | Avg Epoch Time 2.0000s
Epoch 00060 | Valid acc: 94.24% | Test acc: 94.50%
Epoch 00061 | Loss 0.1861 | Avg Epoch Time 2.0001s
Epoch 00062 | Loss 0.1844 | Avg Epoch Time 2.0002s
Epoch 00063 | Loss 0.1829 | Avg Epoch Time 2.0003s
Epoch 00064 | Loss 0.1790 | Avg Epoch Time 2.0033s
Epoch 00065 | Loss 0.1812 | Avg Epoch Time 2.0034s
Epoch 00065 | Valid acc: 94.50% | Test acc: 94.12%
Epoch 00066 | Loss 0.1795 | Avg Epoch Time 2.0035s
Epoch 00067 | Loss 0.1760 | Avg Epoch Time 2.0035s
Epoch 00068 | Loss 0.1795 | Avg Epoch Time 2.0035s
Epoch 00069 | Loss 0.1729 | Avg Epoch Time 2.0035s
Epoch 00070 | Loss 0.1724 | Avg Epoch Time 2.0035s
Epoch 00070 | Valid acc: 94.60% | Test acc: 94.50%
Epoch 00071 | Loss 0.1708 | Avg Epoch Time 2.0034s
Epoch 00072 | Loss 0.1673 | Avg Epoch Time 2.0034s
Epoch 00073 | Loss 0.1672 | Avg Epoch Time 2.0034s
Epoch 00074 | Loss 0.1677 | Avg Epoch Time 2.0034s
Epoch 00075 | Loss 0.1653 | Avg Epoch Time 2.0035s
Epoch 00075 | Valid acc: 94.70% | Test acc: 94.37%
Epoch 00076 | Loss 0.1651 | Avg Epoch Time 2.0035s
Epoch 00077 | Loss 0.1630 | Avg Epoch Time 2.0035s
Epoch 00078 | Loss 0.1637 | Avg Epoch Time 2.0036s
Epoch 00079 | Loss 0.1606 | Avg Epoch Time 2.0037s
Epoch 00080 | Loss 0.1596 | Avg Epoch Time 2.0038s
Epoch 00080 | Valid acc: 94.45% | Test acc: 94.40%
Epoch 00081 | Loss 0.1603 | Avg Epoch Time 2.0054s
Epoch 00082 | Loss 0.1574 | Avg Epoch Time 2.0054s
Epoch 00083 | Loss 0.1593 | Avg Epoch Time 2.0054s
Epoch 00084 | Loss 0.1565 | Avg Epoch Time 2.0054s
Epoch 00085 | Loss 0.1557 | Avg Epoch Time 2.0055s
Epoch 00085 | Valid acc: 94.67% | Test acc: 94.47%
Epoch 00086 | Loss 0.1559 | Avg Epoch Time 2.0055s
Epoch 00087 | Loss 0.1542 | Avg Epoch Time 2.0054s
Epoch 00088 | Loss 0.1544 | Avg Epoch Time 2.0054s
Epoch 00089 | Loss 0.1520 | Avg Epoch Time 2.0054s
Epoch 00090 | Loss 0.1525 | Avg Epoch Time 2.0053s
Epoch 00090 | Valid acc: 94.67% | Test acc: 94.50%
Epoch 00091 | Loss 0.1526 | Avg Epoch Time 2.0053s
Epoch 00092 | Loss 0.1504 | Avg Epoch Time 2.0052s
Epoch 00093 | Loss 0.1509 | Avg Epoch Time 2.0052s
Epoch 00094 | Loss 0.1512 | Avg Epoch Time 2.0052s
Epoch 00095 | Loss 0.1494 | Avg Epoch Time 2.0053s
Epoch 00095 | Valid acc: 94.88% | Test acc: 94.57%
Epoch 00096 | Loss 0.1482 | Avg Epoch Time 2.0053s
Epoch 00097 | Loss 0.1501 | Avg Epoch Time 2.0055s
Epoch 00098 | Loss 0.1480 | Avg Epoch Time 2.0055s
Epoch 00099 | Loss 0.1486 | Avg Epoch Time 2.0057s
Epoch 00100 | Loss 0.1467 | Avg Epoch Time 2.0056s
Epoch 00100 | Valid acc: 94.88% | Test acc: 94.47%
Epoch 00101 | Loss 0.1457 | Avg Epoch Time 2.0056s
Epoch 00102 | Loss 0.1454 | Avg Epoch Time 2.0057s
Epoch 00103 | Loss 0.1458 | Avg Epoch Time 2.0057s
Epoch 00104 | Loss 0.1458 | Avg Epoch Time 2.0056s
Epoch 00105 | Loss 0.1450 | Avg Epoch Time 2.0057s
Epoch 00105 | Valid acc: 94.88% | Test acc: 94.50%
Epoch 00106 | Loss 0.1456 | Avg Epoch Time 2.0057s
Epoch 00107 | Loss 0.1430 | Avg Epoch Time 2.0084s
Epoch 00108 | Loss 0.1443 | Avg Epoch Time 2.0084s
Epoch 00109 | Loss 0.1416 | Avg Epoch Time 2.0084s
Epoch 00110 | Loss 0.1418 | Avg Epoch Time 2.0083s
Epoch 00110 | Valid acc: 94.83% | Test acc: 94.60%
Epoch 00111 | Loss 0.1424 | Avg Epoch Time 2.0082s
Epoch 00112 | Loss 0.1412 | Avg Epoch Time 2.0082s
Epoch 00113 | Loss 0.1387 | Avg Epoch Time 2.0081s
Epoch 00114 | Loss 0.1399 | Avg Epoch Time 2.0081s
Epoch 00115 | Loss 0.1402 | Avg Epoch Time 2.0080s
Epoch 00115 | Valid acc: 94.70% | Test acc: 94.47%
Epoch 00116 | Loss 0.1419 | Avg Epoch Time 2.0079s
Epoch 00117 | Loss 0.1449 | Avg Epoch Time 2.0079s
Epoch 00118 | Loss 0.1565 | Avg Epoch Time 2.0079s
Epoch 00119 | Loss 0.1575 | Avg Epoch Time 2.0078s
Epoch 00120 | Loss 0.1432 | Avg Epoch Time 2.0078s
Epoch 00120 | Valid acc: 94.57% | Test acc: 94.35%
Epoch 00121 | Loss 0.1495 | Avg Epoch Time 2.0077s
Epoch 00122 | Loss 0.1454 | Avg Epoch Time 2.0077s
Epoch 00123 | Loss 0.1418 | Avg Epoch Time 2.0077s
Epoch 00124 | Loss 0.1447 | Avg Epoch Time 2.0077s
Epoch 00125 | Loss 0.1405 | Avg Epoch Time 2.0077s
Epoch 00125 | Valid acc: 94.47% | Test acc: 94.52%
Epoch 00126 | Loss 0.1411 | Avg Epoch Time 2.0078s
Epoch 00127 | Loss 0.1382 | Avg Epoch Time 2.0078s
Epoch 00128 | Loss 0.1409 | Avg Epoch Time 2.0078s
Epoch 00129 | Loss 0.1369 | Avg Epoch Time 2.0079s
Epoch 00130 | Loss 0.1371 | Avg Epoch Time 2.0079s
Epoch 00130 | Valid acc: 94.70% | Test acc: 94.73%
Epoch 00131 | Loss 0.1363 | Avg Epoch Time 2.0079s
Epoch 00132 | Loss 0.1376 | Avg Epoch Time 2.0079s
Epoch 00133 | Loss 0.1360 | Avg Epoch Time 2.0078s
Epoch 00134 | Loss 0.1360 | Avg Epoch Time 2.0080s
Epoch 00135 | Loss 0.1334 | Avg Epoch Time 2.0080s
Epoch 00135 | Valid acc: 94.72% | Test acc: 94.52%
Epoch 00136 | Loss 0.1357 | Avg Epoch Time 2.0081s
Epoch 00137 | Loss 0.1332 | Avg Epoch Time 2.0080s
Epoch 00138 | Loss 0.1353 | Avg Epoch Time 2.0080s
Epoch 00139 | Loss 0.1324 | Avg Epoch Time 2.0080s
Epoch 00140 | Loss 0.1343 | Avg Epoch Time 2.0079s
Epoch 00140 | Valid acc: 94.83% | Test acc: 94.78%
Epoch 00141 | Loss 0.1317 | Avg Epoch Time 2.0079s
Epoch 00142 | Loss 0.1329 | Avg Epoch Time 2.0079s
Epoch 00143 | Loss 0.1326 | Avg Epoch Time 2.0078s
Epoch 00144 | Loss 0.1315 | Avg Epoch Time 2.0078s
Epoch 00145 | Loss 0.1311 | Avg Epoch Time 2.0078s
Epoch 00145 | Valid acc: 94.60% | Test acc: 94.55%
Epoch 00146 | Loss 0.1307 | Avg Epoch Time 2.0078s
Epoch 00147 | Loss 0.1298 | Avg Epoch Time 2.0077s
Epoch 00148 | Loss 0.1304 | Avg Epoch Time 2.0077s
Epoch 00149 | Loss 0.1317 | Avg Epoch Time 2.0087s
