> initializing torch distributed ...
Loading trained LM features (title and abstract) ...
LM_emb_path: ./lm_workloads/prt_lm/ogbn-products/microsoft/deberta-base-seed0.emb
ogbn-products load successfully
Train nodes: 14708, Val nodes: 1572, Test nodes: 37745
Num of train batches: 1, num of train microbatches: 1, microbatch size: 54025
stage=2 layers = 28-42

Number of parameters: 3840175
stage=0 layers = 0-14
stage=3 layers = 42-56
stage=1 layers = 14-28
Training...
Epoch 00000 | Loss 4.2341 | Epoch Time 1.50s
Epoch 00000 | Valid acc: 24.36% | Test acc: 17.37%
Epoch 00001 | Loss 2.9630 | Epoch Time 0.36s
Epoch 00002 | Loss 2.7545 | Epoch Time 0.37s
Epoch 00003 | Loss 2.6869 | Epoch Time 0.37s
Epoch 00004 | Loss 2.6621 | Epoch Time 0.38s
Epoch 00005 | Loss 2.6396 | Avg Epoch Time 0.3724s
Epoch 00005 | Valid acc: 24.36% | Test acc: 17.37%
Epoch 00006 | Loss 2.6170 | Avg Epoch Time 0.3715s
Epoch 00007 | Loss 2.5972 | Avg Epoch Time 0.3714s
Epoch 00008 | Loss 2.5866 | Avg Epoch Time 0.3713s
Epoch 00009 | Loss 2.5700 | Avg Epoch Time 0.3717s
Epoch 00010 | Loss 2.5401 | Avg Epoch Time 0.3715s
Epoch 00010 | Valid acc: 24.36% | Test acc: 17.37%
Epoch 00011 | Loss 2.5094 | Avg Epoch Time 0.3715s
Epoch 00012 | Loss 2.4739 | Avg Epoch Time 0.3718s
Epoch 00013 | Loss 2.4186 | Avg Epoch Time 0.3718s
Epoch 00014 | Loss 2.3556 | Avg Epoch Time 0.3717s
Epoch 00015 | Loss 2.2818 | Avg Epoch Time 0.3717s
Epoch 00015 | Valid acc: 32.76% | Test acc: 23.68%
Epoch 00016 | Loss 2.2059 | Avg Epoch Time 0.3717s
Epoch 00017 | Loss 2.1322 | Avg Epoch Time 0.3717s
Epoch 00018 | Loss 2.0792 | Avg Epoch Time 0.3716s
Epoch 00019 | Loss 2.0481 | Avg Epoch Time 0.3716s
Epoch 00020 | Loss 2.0288 | Avg Epoch Time 0.3715s
Epoch 00020 | Valid acc: 32.82% | Test acc: 23.81%
Epoch 00021 | Loss 2.0202 | Avg Epoch Time 0.3715s
Epoch 00022 | Loss 2.0172 | Avg Epoch Time 0.3715s
Epoch 00023 | Loss 2.0129 | Avg Epoch Time 0.3715s
Epoch 00024 | Loss 2.0020 | Avg Epoch Time 0.3715s
Epoch 00025 | Loss 1.9998 | Avg Epoch Time 0.3716s
Epoch 00025 | Valid acc: 32.63% | Test acc: 23.62%
Epoch 00026 | Loss 1.9969 | Avg Epoch Time 0.3717s
Epoch 00027 | Loss 1.9932 | Avg Epoch Time 0.3717s
Epoch 00028 | Loss 1.9896 | Avg Epoch Time 0.3718s
Epoch 00029 | Loss 1.9902 | Avg Epoch Time 0.3718s
Epoch 00030 | Loss 1.9839 | Avg Epoch Time 0.3719s
Epoch 00030 | Valid acc: 33.21% | Test acc: 23.88%
Epoch 00031 | Loss 1.9787 | Avg Epoch Time 0.3719s
Epoch 00032 | Loss 1.9791 | Avg Epoch Time 0.3719s
Epoch 00033 | Loss 1.9732 | Avg Epoch Time 0.3720s
Epoch 00034 | Loss 1.9677 | Avg Epoch Time 0.3720s
Epoch 00035 | Loss 1.9597 | Avg Epoch Time 0.3720s
