torchrun --nnodes 1 --nproc_per_node 4 resgnn_pp_trainonall.py --num_layers 56 --hidden_channels 128 --dropout 0.5 --lr 0.01

> initializing torch distributed ...
ogbn-arxiv load successfully
Train nodes: 90941, Val nodes: 29799, Test nodes: 48600
Num of train batches: 1, num of train microbatches: 2, microbatch size: 84670
The number of layers 56 Aggregation method max block: res+
False
LN/BN->ReLU->GraphConv->Res
The number of layers 56 Aggregation method max block: res+
False
LN/BN->ReLU->GraphConv->Res
The number of layers 56 Aggregation method max block: res+
False
LN/BN->ReLU->GraphConv->Res
stage=2 layers = 28-42
The number of layers 56 Aggregation method max block: res+
False
LN/BN->ReLU->GraphConv->Res
stage=0 layers = 0-14
stage=3 layers = 42-56
stage=1 layers = 14-28
Training...
Epoch 00000 | Loss 3.7964 | Epoch Time 2.23s
Epoch 00000 | Valid acc: 22.97% | Test acc: 21.56%
Epoch 00001 | Loss 3.2034 | Epoch Time 0.83s
Epoch 00002 | Loss 3.1336 | Epoch Time 0.85s
Epoch 00003 | Loss 3.1016 | Epoch Time 0.84s
Epoch 00004 | Loss 3.0870 | Epoch Time 0.96s
Epoch 00005 | Loss 3.0749 | Avg Epoch Time 0.8182s
Epoch 00005 | Valid acc: 22.97% | Test acc: 21.56%
Epoch 00006 | Loss 3.0597 | Avg Epoch Time 0.8089s
Epoch 00007 | Loss 3.0525 | Avg Epoch Time 0.8162s
Epoch 00008 | Loss 3.0428 | Avg Epoch Time 0.8157s
Epoch 00009 | Loss 3.0381 | Avg Epoch Time 0.8163s
Epoch 00010 | Loss 3.0341 | Avg Epoch Time 0.8173s
Epoch 00010 | Valid acc: 22.97% | Test acc: 21.56%
Epoch 00011 | Loss 3.0286 | Avg Epoch Time 0.8138s
Epoch 00012 | Loss 3.0234 | Avg Epoch Time 0.8141s
Epoch 00013 | Loss 3.0183 | Avg Epoch Time 0.8147s
Epoch 00014 | Loss 3.0155 | Avg Epoch Time 0.8153s
Epoch 00015 | Loss 3.0151 | Avg Epoch Time 0.8155s
Epoch 00015 | Valid acc: 22.97% | Test acc: 21.56%
Epoch 00016 | Loss 3.0134 | Avg Epoch Time 0.8136s
Epoch 00017 | Loss 3.0107 | Avg Epoch Time 0.8146s
Epoch 00018 | Loss 3.0070 | Avg Epoch Time 0.8153s
Epoch 00019 | Loss 3.0053 | Avg Epoch Time 0.8165s
Epoch 00020 | Loss 3.0054 | Avg Epoch Time 0.8166s
Epoch 00020 | Valid acc: 22.97% | Test acc: 21.56%
Epoch 00021 | Loss 3.0046 | Avg Epoch Time 0.8151s
Epoch 00022 | Loss 3.0046 | Avg Epoch Time 0.8151s
Epoch 00023 | Loss 3.0023 | Avg Epoch Time 0.8152s
Epoch 00024 | Loss 3.0019 | Avg Epoch Time 0.8159s
Epoch 00025 | Loss 3.0013 | Avg Epoch Time 0.8162s
Epoch 00025 | Valid acc: 22.97% | Test acc: 21.56%
Epoch 00026 | Loss 3.0009 | Avg Epoch Time 0.8155s
Epoch 00027 | Loss 3.0001 | Avg Epoch Time 0.8161s
Epoch 00028 | Loss 3.0002 | Avg Epoch Time 0.8165s
Epoch 00029 | Loss 2.9996 | Avg Epoch Time 0.8170s
Epoch 00030 | Loss 2.9989 | Avg Epoch Time 0.8174s
Epoch 00030 | Valid acc: 22.97% | Test acc: 21.56%
Epoch 00031 | Loss 2.9993 | Avg Epoch Time 0.8167s
