torchrun --nnodes 1 --nproc_per_node 4 resgnn_pp_trainonall_sync_lm_reorder.py --num_layers 56 --hidden_channels 128 --dropout 0.5 --lr 0.01

> initializing torch distributed ...
Loading trained LM features (title and abstract) ...
LM_emb_path: ./lm_workloads/prt_lm/ogbn-arxiv/microsoft/deberta-base-seed0.emb
ogbn-arxiv load successfully
Train nodes: 90941, Val nodes: 29799, Test nodes: 48603
Num of train batches: 1, num of train microbatches: 2, microbatch size: 84670
stage=2 layers = 28-42

Number of parameters: 3839272
stage=0 layers = 0-14
stage=1 layers = 14-28
stage=3 layers = 42-56
Training...
Epoch 00000 | Loss 3.9290 | Epoch Time 1.68s
Epoch 00000 | Valid acc: 7.63% | Test acc: 5.86%
Epoch 00001 | Loss 3.4019 | Epoch Time 0.73s
Epoch 00002 | Loss 3.1917 | Epoch Time 0.75s
Epoch 00003 | Loss 3.1814 | Epoch Time 0.75s
Epoch 00004 | Loss 3.1754 | Epoch Time 0.75s
Epoch 00005 | Loss 3.1540 | Avg Epoch Time 0.7479s
Epoch 00005 | Valid acc: 7.63% | Test acc: 5.86%
Epoch 00006 | Loss 3.1361 | Avg Epoch Time 0.7378s
Epoch 00007 | Loss 3.1301 | Avg Epoch Time 0.7414s
Epoch 00008 | Loss 3.1203 | Avg Epoch Time 0.7439s
Epoch 00009 | Loss 3.1110 | Avg Epoch Time 0.7452s
Epoch 00010 | Loss 3.1032 | Avg Epoch Time 0.7460s
Epoch 00010 | Valid acc: 7.63% | Test acc: 5.86%
Epoch 00011 | Loss 3.0952 | Avg Epoch Time 0.7441s
Epoch 00012 | Loss 3.0866 | Avg Epoch Time 0.7447s
Epoch 00013 | Loss 3.0812 | Avg Epoch Time 0.7454s
Epoch 00014 | Loss 3.0725 | Avg Epoch Time 0.7460s
Epoch 00015 | Loss 3.0634 | Avg Epoch Time 0.7464s
Epoch 00015 | Valid acc: 7.63% | Test acc: 5.86%
Epoch 00016 | Loss 3.0492 | Avg Epoch Time 0.7450s
Epoch 00017 | Loss 3.0346 | Avg Epoch Time 0.7455s
