W0320 00:32:36.752000 140403469533824 torch/distributed/run.py:779] 
W0320 00:32:36.752000 140403469533824 torch/distributed/run.py:779] *****************************************
W0320 00:32:36.752000 140403469533824 torch/distributed/run.py:779] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0320 00:32:36.752000 140403469533824 torch/distributed/run.py:779] *****************************************
> initializing torch distributed ...
ogbn-arxiv load and processed successfully
Train nodes: 90941, Val nodes: 29799, Test nodes: 48603
Num of train batches: 1, num of train microbatches: 4, microbatch size: 42335
stage=2 layers=56 - 84
stage=1 layers=28 - 56
stage=0 layers=0 - 28
stage=3 layers=84 - 112
[00:32:42] /opt/dgl/src/graph/transform/metis_partition_hetero.cc:89: Partition a graph with 42335 nodes and 146418 edges into 4 parts and get 6822 edge cuts
[00:32:42] /opt/dgl/src/graph/transform/metis_partition_hetero.cc:89: Partition a graph with 42335 nodes and 146418 edges into 4 parts and get 6822 edge cuts
[00:32:42] /opt/dgl/src/graph/transform/metis_partition_hetero.cc:89: Partition a graph with 42335 nodes and 146418 edges into 4 parts and get 6822 edge cuts
[00:32:42] /opt/dgl/src/graph/transform/metis_partition_hetero.cc:89: Partition a graph with 42335 nodes and 153226 edges into 4 parts and get 6823 edge cuts
[00:32:42] /opt/dgl/src/graph/transform/metis_partition_hetero.cc:89: Partition a graph with 42335 nodes and 146418 edges into 4 parts and get 6822 edge cuts
[00:32:42] /opt/dgl/src/graph/transform/metis_partition_hetero.cc:89: Partition a graph with 42335 nodes and 153226 edges into 4 parts and get 6823 edge cuts
[00:32:42] /opt/dgl/src/graph/transform/metis_partition_hetero.cc:89: Partition a graph with 42335 nodes and 153226 edges into 4 parts and get 6823 edge cuts
[00:32:43] /opt/dgl/src/graph/transform/metis_partition_hetero.cc:89: Partition a graph with 42335 nodes and 144694 edges into 4 parts and get 6339 edge cuts
[00:32:43] /opt/dgl/src/graph/transform/metis_partition_hetero.cc:89: Partition a graph with 42335 nodes and 153226 edges into 4 parts and get 6823 edge cuts
[00:32:43] /opt/dgl/src/graph/transform/metis_partition_hetero.cc:89: Partition a graph with 42335 nodes and 144694 edges into 4 parts and get 6339 edge cuts
[00:32:43] /opt/dgl/src/graph/transform/metis_partition_hetero.cc:89: Partition a graph with 42335 nodes and 144694 edges into 4 parts and get 6339 edge cuts
[00:32:43] /opt/dgl/src/graph/transform/metis_partition_hetero.cc:89: Partition a graph with 42335 nodes and 144694 edges into 4 parts and get 6339 edge cuts
[00:32:43] /opt/dgl/src/graph/transform/metis_partition_hetero.cc:89: Partition a graph with 42335 nodes and 135136 edges into 4 parts and get 5487 edge cuts
[00:32:44] /opt/dgl/src/graph/transform/metis_partition_hetero.cc:89: Partition a graph with 42335 nodes and 135136 edges into 4 parts and get 5487 edge cuts
[00:32:44] /opt/dgl/src/graph/transform/metis_partition_hetero.cc:89: Partition a graph with 42335 nodes and 135136 edges into 4 parts and get 5487 edge cuts
revgnn start time: 2025-03-20 00:32:44.257
[00:32:44] /opt/dgl/src/graph/transform/metis_partition_hetero.cc:89: Partition a graph with 42335 nodes and 135136 edges into 4 parts and get 5487 edge cuts
revgnn start time: 2025-03-20 00:32:44.577
Training...
revgnn start time: 2025-03-20 00:32:44.581
revgnn start time: 2025-03-20 00:32:44.922
Epoch 00000 | Loss 3.8803 | Epoch Time 2.69s
Epoch 00000 | Valid acc: 7.63% | Test acc: 5.86%
Epoch 00001 | Loss 3.2835 | Epoch Time 3.02s
Epoch 00002 | Loss 3.2259 | Epoch Time 3.08s
Epoch 00003 | Loss 3.1626 | Epoch Time 3.08s
Epoch 00004 | Loss 3.1299 | Epoch Time 3.09s
Epoch 00005 | Loss 3.1166 | Avg Epoch Time 3.09s
Epoch 00005 | Valid acc: 7.63% | Test acc: 5.86%
Epoch 00006 | Loss 3.1109 | Avg Epoch Time 3.06s
Epoch 00007 | Loss 3.1069 | Avg Epoch Time 3.07s
Epoch 00008 | Loss 3.1020 | Avg Epoch Time 3.08s
Epoch 00009 | Loss 3.1002 | Avg Epoch Time 3.08s
Epoch 00010 | Loss 3.0967 | Avg Epoch Time 3.09s
Epoch 00010 | Valid acc: 7.63% | Test acc: 5.86%
Epoch 00011 | Loss 3.0985 | Avg Epoch Time 3.08s
Epoch 00012 | Loss 3.0963 | Avg Epoch Time 3.08s
Epoch 00013 | Loss 3.0918 | Avg Epoch Time 3.09s
Epoch 00014 | Loss 3.0889 | Avg Epoch Time 3.09s
Epoch 00015 | Loss 3.0865 | Avg Epoch Time 3.09s
Epoch 00015 | Valid acc: 7.63% | Test acc: 5.86%
Epoch 00016 | Loss 3.0832 | Avg Epoch Time 3.09s
Epoch 00017 | Loss 3.0787 | Avg Epoch Time 3.09s
Epoch 00018 | Loss 3.0728 | Avg Epoch Time 3.09s
Epoch 00019 | Loss 3.0637 | Avg Epoch Time 3.10s
Epoch 00020 | Loss 3.0520 | Avg Epoch Time 3.10s
Epoch 00020 | Valid acc: 7.63% | Test acc: 5.86%
Epoch 00021 | Loss 3.0410 | Avg Epoch Time 3.10s
Epoch 00022 | Loss 3.0201 | Avg Epoch Time 3.10s
Epoch 00023 | Loss 2.9964 | Avg Epoch Time 3.10s
Epoch 00024 | Loss 2.9667 | Avg Epoch Time 3.10s
Epoch 00025 | Loss 2.9308 | Avg Epoch Time 3.10s
Epoch 00025 | Valid acc: 29.26% | Test acc: 25.91%
Epoch 00026 | Loss 2.8927 | Avg Epoch Time 3.10s
Epoch 00027 | Loss 2.8559 | Avg Epoch Time 3.11s
Epoch 00028 | Loss 2.8213 | Avg Epoch Time 3.11s
Epoch 00029 | Loss 2.7939 | Avg Epoch Time 3.11s
Epoch 00030 | Loss 2.7711 | Avg Epoch Time 3.11s
Epoch 00030 | Valid acc: 29.36% | Test acc: 25.95%
Epoch 00031 | Loss 2.7393 | Avg Epoch Time 3.11s
Epoch 00032 | Loss 2.7117 | Avg Epoch Time 3.12s
Epoch 00033 | Loss 2.6928 | Avg Epoch Time 3.12s
Epoch 00034 | Loss 2.6670 | Avg Epoch Time 3.12s
Epoch 00035 | Loss 2.6429 | Avg Epoch Time 3.12s
Epoch 00035 | Valid acc: 30.74% | Test acc: 26.25%
Epoch 00036 | Loss 2.6327 | Avg Epoch Time 3.12s
Epoch 00037 | Loss 2.6162 | Avg Epoch Time 3.13s
Epoch 00038 | Loss 2.6026 | Avg Epoch Time 3.13s
Epoch 00039 | Loss 2.5873 | Avg Epoch Time 3.13s
Epoch 00040 | Loss 2.5694 | Avg Epoch Time 3.13s
Epoch 00040 | Valid acc: 31.03% | Test acc: 25.88%
Epoch 00041 | Loss 2.5623 | Avg Epoch Time 3.13s
Epoch 00042 | Loss 2.5422 | Avg Epoch Time 3.14s
Epoch 00043 | Loss 2.5251 | Avg Epoch Time 3.14s
Epoch 00044 | Loss 2.5174 | Avg Epoch Time 3.14s
Epoch 00045 | Loss 2.5049 | Avg Epoch Time 3.14s
Epoch 00045 | Valid acc: 32.97% | Test acc: 28.02%
Epoch 00046 | Loss 2.4931 | Avg Epoch Time 3.14s
Epoch 00047 | Loss 2.4941 | Avg Epoch Time 3.14s
Epoch 00048 | Loss 2.4750 | Avg Epoch Time 3.15s
Epoch 00049 | Loss 2.4826 | Avg Epoch Time 3.15s
Epoch 00050 | Loss 2.4728 | Avg Epoch Time 3.15s
Epoch 00050 | Valid acc: 35.03% | Test acc: 30.03%
Epoch 00051 | Loss 2.4621 | Avg Epoch Time 3.15s
Epoch 00052 | Loss 2.4644 | Avg Epoch Time 3.15s
Epoch 00053 | Loss 2.4481 | Avg Epoch Time 3.15s
Epoch 00054 | Loss 2.4583 | Avg Epoch Time 3.15s
Epoch 00055 | Loss 2.4382 | Avg Epoch Time 3.15s
Epoch 00055 | Valid acc: 35.43% | Test acc: 31.06%
Epoch 00056 | Loss 2.4402 | Avg Epoch Time 3.15s
Epoch 00057 | Loss 2.4403 | Avg Epoch Time 3.16s
Epoch 00058 | Loss 2.4181 | Avg Epoch Time 3.16s
Epoch 00059 | Loss 2.4368 | Avg Epoch Time 3.16s
Epoch 00060 | Loss 2.4240 | Avg Epoch Time 3.16s
Epoch 00060 | Valid acc: 35.77% | Test acc: 30.79%
Epoch 00061 | Loss 2.4032 | Avg Epoch Time 3.16s
Epoch 00062 | Loss 2.4004 | Avg Epoch Time 3.16s
Epoch 00063 | Loss 2.3956 | Avg Epoch Time 3.16s
Epoch 00064 | Loss 2.3881 | Avg Epoch Time 3.16s
Epoch 00065 | Loss 2.3818 | Avg Epoch Time 3.16s
Epoch 00065 | Valid acc: 36.82% | Test acc: 32.07%
Epoch 00066 | Loss 2.3702 | Avg Epoch Time 3.16s
Epoch 00067 | Loss 2.3687 | Avg Epoch Time 3.16s
Epoch 00068 | Loss 2.3576 | Avg Epoch Time 3.16s
Epoch 00069 | Loss 2.3492 | Avg Epoch Time 3.17s
Epoch 00070 | Loss 2.3373 | Avg Epoch Time 3.17s
Epoch 00070 | Valid acc: 36.64% | Test acc: 31.70%
Epoch 00071 | Loss 2.3686 | Avg Epoch Time 3.17s
Epoch 00072 | Loss 2.3476 | Avg Epoch Time 3.17s
Epoch 00073 | Loss 2.3011 | Avg Epoch Time 3.17s
Epoch 00074 | Loss 2.4470 | Avg Epoch Time 3.17s
Epoch 00075 | Loss 2.3046 | Avg Epoch Time 3.17s
Epoch 00075 | Valid acc: 36.86% | Test acc: 33.64%
Epoch 00076 | Loss 2.5053 | Avg Epoch Time 3.17s
Epoch 00077 | Loss 2.4617 | Avg Epoch Time 3.17s
Epoch 00078 | Loss 2.3042 | Avg Epoch Time 3.17s
Epoch 00079 | Loss 2.3553 | Avg Epoch Time 3.17s
Epoch 00080 | Loss 2.3834 | Avg Epoch Time 3.17s
Epoch 00080 | Valid acc: 38.78% | Test acc: 35.83%
Epoch 00081 | Loss 2.3064 | Avg Epoch Time 3.17s
Epoch 00082 | Loss 2.2961 | Avg Epoch Time 3.17s
Epoch 00083 | Loss 2.3146 | Avg Epoch Time 3.17s
Epoch 00084 | Loss 2.2913 | Avg Epoch Time 3.17s
Epoch 00085 | Loss 2.2597 | Avg Epoch Time 3.17s
Epoch 00085 | Valid acc: 39.38% | Test acc: 36.02%
Epoch 00086 | Loss 2.2884 | Avg Epoch Time 3.17s
Epoch 00087 | Loss 2.2616 | Avg Epoch Time 3.17s
Epoch 00088 | Loss 2.2270 | Avg Epoch Time 3.17s
Epoch 00089 | Loss 2.2426 | Avg Epoch Time 3.17s
Epoch 00090 | Loss 2.2095 | Avg Epoch Time 3.17s
Epoch 00090 | Valid acc: 41.54% | Test acc: 38.76%
Epoch 00091 | Loss 2.2146 | Avg Epoch Time 3.17s
Epoch 00092 | Loss 2.2090 | Avg Epoch Time 3.17s
Epoch 00093 | Loss 2.1747 | Avg Epoch Time 3.17s
Epoch 00094 | Loss 2.1913 | Avg Epoch Time 3.17s
Epoch 00095 | Loss 2.1822 | Avg Epoch Time 3.17s
Epoch 00095 | Valid acc: 44.29% | Test acc: 42.20%
Epoch 00096 | Loss 2.1568 | Avg Epoch Time 3.17s
Epoch 00097 | Loss 2.1707 | Avg Epoch Time 3.17s
Epoch 00098 | Loss 2.1489 | Avg Epoch Time 3.17s
Epoch 00099 | Loss 2.1457 | Avg Epoch Time 3.17s
Epoch 00100 | Loss 2.1516 | Avg Epoch Time 3.17s
Epoch 00100 | Valid acc: 45.23% | Test acc: 43.65%
Epoch 00101 | Loss 2.1230 | Avg Epoch Time 3.17s
Epoch 00102 | Loss 2.1356 | Avg Epoch Time 3.17s
Epoch 00103 | Loss 2.1281 | Avg Epoch Time 3.17s
Epoch 00104 | Loss 2.1134 | Avg Epoch Time 3.17s
Epoch 00105 | Loss 2.1180 | Avg Epoch Time 3.17s
Epoch 00105 | Valid acc: 46.04% | Test acc: 44.76%
Epoch 00106 | Loss 2.0993 | Avg Epoch Time 3.17s
Epoch 00107 | Loss 2.1055 | Avg Epoch Time 3.17s
Epoch 00108 | Loss 2.0917 | Avg Epoch Time 3.17s
Epoch 00109 | Loss 2.0939 | Avg Epoch Time 3.17s
Epoch 00110 | Loss 2.0769 | Avg Epoch Time 3.17s
Epoch 00110 | Valid acc: 45.62% | Test acc: 42.99%
Epoch 00111 | Loss 2.0708 | Avg Epoch Time 3.17s
